g_us,delta_Vus,tau_us,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D
0.013377851910911336,1.2853556966351123,226.044368392199,tonic_spiking,318,,,,,tonic_spiking,48,,,,,tonic_spiking,307,64.0,,,25.626256984754953,bursting,82,26.5,0.08964436912935365,0.11646663522067516,27.947552065878796
0.013377851910911336,1.2853556966351123,263.73656816262735,bursting,229,48.0,0.5525862247970266,0.4152910151788865,24.06805716784454,bursting,124,23.5,0.3276733291053786,0.4091569321413228,28.810192939007987,bursting,220,52.0,0.5900154728315281,0.3033888534935226,23.991500511321703,bursting,132,27.0,0.3836197951059375,0.37733713186046075,28.76791353436215
0.013377851910911336,1.2853556966351123,273.57153966773257,bursting,207,35.5,0.5097389909294724,0.4113618132828731,25.567043276772427,bursting,139,25.0,0.3444032994376852,0.3918572072336841,28.624585653431154,bursting,211,35.0,0.5317174997100778,0.38656306776450594,25.50705274434058,bursting,147,23.0,0.3074121857832529,0.4161811220243049,28.559847845528846
0.013377851910911336,1.2853556966351123,275.98409500553703,bursting,220,39.5,0.5834396506801313,0.35938258072631224,24.231850994588164,bursting,118,23.5,0.2733958345028911,0.374258500346189,28.818968286611895,bursting,209,38.5,0.5723423637515845,0.3960709759188848,24.378790082925075,bursting,141,23.5,0.22129014963969781,0.31536290386161875,28.667308382530635
0.013377851910911336,1.2853556966351123,281.7449368651538,bursting,201,28.0,0.45796321636477505,0.46385416425075954,26.557558891791878,bursting,152,22.5,0.34617721282362846,0.4673333956444527,28.462733891453947,bursting,200,33.0,0.558134450719621,0.3643650938240115,25.36128494283429,bursting,142,22.5,0.22891566265060231,0.36565076695248366,28.717802980960208
0.013377851910911336,1.2853556966351123,282.141071005148,bursting,204,34.0,0.5378400567227675,0.37317610180244054,24.886766271473924,bursting,140,24.5,0.29668266625377404,0.38708678485716497,28.537071204066958,bursting,192,31.0,0.5295680928326538,0.4057371229180614,25.5837849777289,bursting,156,24.0,0.36678362053650737,0.4441286196482502,28.307194420549095
0.013377851910911336,1.2853556966351123,282.5663814637621,bursting,200,29.0,0.5034225958215345,0.4459408236527013,26.37752371023074,bursting,155,23.5,0.35136525354708703,0.42865103519225006,28.26395953432884,bursting,204,32.0,0.47832254310031275,0.3637157197934094,25.87059117014151,bursting,142,23.5,0.2830288789509588,0.3789888577275828,28.466818967064224
0.013377851910911336,1.2853556966351123,287.573659289566,bursting,195,25.0,0.4736126896279093,0.49414438899046303,26.822831577682592,bursting,148,20.5,0.3345417252975269,0.47699682797109383,28.613207954090285,bursting,186,28.0,0.46603003190611114,0.4462393181463219,26.313316419834525,bursting,162,22.5,0.3491498243048841,0.47166474070230874,28.439266051076615
0.013377851910911336,1.2853556966351123,290.10710926059977,bursting,190,25.5,0.43470094966008005,0.5290585403274874,26.21697362444164,bursting,150,20.0,0.34925303211701647,0.5205351100931758,28.175656635644327,bursting,189,27.0,0.429156010230179,0.4447903925275213,26.445684271916612,bursting,156,21.0,0.3405473625166522,0.46743169654334266,28.744027661507943
0.013377851910911336,1.2853556966351123,298.0848142799305,bursting,181,25.5,0.4387736198592071,0.4631344942571322,26.658758680579542,bursting,152,22.5,0.366135099582285,0.46156331494772795,28.13209869064431,bursting,187,25.5,0.42709083726442526,0.46475960309529896,26.516084973092752,bursting,151,20.0,0.314396384764364,0.4965983016338084,28.438417673342105
0.013377851910911336,1.495526820625599,226.044368392199,bursting,209,33.0,0.5049663796154303,0.47186504659667333,25.58302278520113,bursting,139,20.0,0.30456320156173716,0.4880429477794045,28.868837248295005,bursting,228,41.5,0.5939069439256215,0.4150583156933548,24.249474918730538,bursting,129,20.5,0.3421033219405446,0.49177506208660154,28.840823838412415
0.013377851910911336,1.495526820625599,263.73656816262735,bursting,171,19.5,0.35079096045197716,0.5649717514124293,27.13135556079868,bursting,147,18.0,0.3284239384041066,0.5832944470368641,28.147568441929767,bursting,175,21.0,0.4020074946466811,0.5353319057815845,26.875820241516937,bursting,151,19.5,0.3448952385743393,0.5030560655985109,28.029955028520092
0.013377851910911336,1.495526820625599,273.57153966773257,bursting,162,19.0,0.4015650741350906,0.5883737349964697,26.873222296973644,bursting,148,16.5,0.33058565828914005,0.5764353239566521,28.23201487816364,bursting,170,20.5,0.4179539332637019,0.5497223901929527,26.576148250309764,bursting,147,18.0,0.30070408483224537,0.5701091759071862,28.140595399510755
0.013377851910911336,1.495526820625599,275.98409500553703,bursting,160,19.5,0.4026172482773949,0.5556790397866193,26.69914602654106,bursting,148,17.5,0.33481122463029767,0.5507669429680832,28.170863086238576,bursting,165,20.5,0.4038512265892905,0.5275652862041678,26.593859329150437,bursting,142,19.5,0.3457666631344706,0.5298293949348312,27.723782210605638
0.013377851910911336,1.495526820625599,281.7449368651538,bursting,160,20.5,0.37406190219257374,0.4905086574778046,26.889459008109906,bursting,148,20.5,0.3603802733214497,0.4753416518122401,27.226552339068615,bursting,156,18.5,0.3676505105034625,0.5867855885459452,27.11308981284887,bursting,146,16.0,0.30942281250914194,0.5850861539361671,28.477907546141434
