g_syn_i,tau_i,Vi_threshold,Vi0,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D
25.93389127959182,43.48803280527052,-21.361859088807883,-97.56140829266275,bursting,123,14.0,0.3090516145436055,0.6356470887363336,26.893095371005774,bursting,130,14.5,0.3059934176338123,0.5774005427565103,27.27695162461439,bursting,130,13.5,0.2917872923967697,0.6094773731525218,27.296845735391788,bursting,126,14.5,0.31405452211041757,0.5971753605446238,27.230581947421893
25.93389127959182,43.48803280527052,-21.361859088807883,-97.42033094122115,bursting,130,13.5,0.28850332521235283,0.6584578916178311,27.221997401124966,bursting,124,13.0,0.2985350857931553,0.6273722513253239,27.84299902350111,bursting,128,14.5,0.31419291579850506,0.6128201985537443,27.316793123407656,bursting,130,14.0,0.29404064331130786,0.6233636703652912,27.61925975077366
25.93389127959182,43.48803280527052,-21.361859088807883,-97.3239545542309,bursting,130,14.0,0.2773718411552347,0.5776173285198558,27.363845081553187,bursting,127,14.0,0.29237651672999143,0.6128201985537443,27.504859906883333,bursting,128,13.0,0.2570519822656299,0.6425496369594552,27.397361914780266,bursting,128,13.0,0.303100105576351,0.6398566721054483,27.82025894395008
25.93389127959182,43.48803280527052,-21.361859088807883,-94.61018456164383,bursting,129,13.0,0.28329203539823017,0.7079646017699117,27.233651721968442,bursting,124,13.5,0.31712498877883805,0.5984619527813518,27.407121060674967,bursting,133,14.5,0.25710476090878187,0.5228894873068578,27.209404981721974,bursting,129,15.0,0.3006667612427294,0.5674563767910341,27.062216907619177
25.93389127959182,43.48803280527052,-21.361859088807883,-93.65773514746154,bursting,125,15.0,0.3151515151515151,0.5637773079633542,27.346876745277232,bursting,130,15.5,0.2597379825154681,0.5009894541719897,27.41614835125424,bursting,132,14.0,0.3121123081945804,0.6529546196539343,27.076857496747355,bursting,124,13.5,0.29133163365365766,0.6537229522128521,27.37909935808575
25.93389127959182,43.48803280527052,-21.361859088807883,-91.02552711889388,bursting,132,14.0,0.3047458893871447,0.6228201295465868,26.9662119536685,bursting,127,13.5,0.28041917329710847,0.6468723720809884,27.63197487736681,bursting,130,14.5,0.3058909945644189,0.5876303804906712,27.284955990802928,bursting,130,14.5,0.28467369418453164,0.592206561648703,27.192984489735725
25.93389127959182,43.48803280527052,-21.361859088807883,-84.45618519682054,bursting,128,13.5,0.3059382273384915,0.6290495061961378,27.150101851640233,bursting,129,14.0,0.2960933411322844,0.6157066773389158,27.350617466585785,bursting,131,13.5,0.3044408101648005,0.6290099383570259,27.22717998997414,bursting,126,13.5,0.2892367906066536,0.6523157208088713,27.359669606929632
25.93389127959182,43.48803280527052,-21.361859088807883,-84.14466490957768,bursting,130,14.0,0.2838500130499086,0.5799959400284198,27.141651276293665,bursting,124,14.0,0.2949168207024028,0.6161429451632776,27.409876335248132,bursting,127,13.5,0.30009701749444495,0.625919318999781,27.35511699222302,bursting,132,13.0,0.2804119435996682,0.6911805363560962,27.329098636579914
25.93389127959182,43.48803280527052,-21.361859088807883,-79.83924936551198,bursting,131,14.0,0.28834814881326504,0.5986052497680403,27.225750298781065,bursting,125,14.0,0.29424900581217517,0.6118078923218108,27.360870576008498,bursting,128,13.5,0.2876546442364337,0.6545787785559991,27.241726338488625,bursting,132,12.0,0.26330594418535797,0.7402472425790213,27.888060319874807
25.93389127959182,43.48803280527052,-21.361859088807883,-70.72517159216585,bursting,130,14.0,0.3186542410361712,0.6318117201074078,26.57422166359061,bursting,135,13.5,0.29269662921348344,0.6609385327164574,27.210836301712632,bursting,137,13.5,0.2925788376335678,0.6515506906437322,26.92269500570699,bursting,133,11.5,0.2722565745362435,0.7449899426357746,27.623829065629387
25.93389127959182,43.48803280527052,-20.856655644326214,-97.56140829266275,bursting,131,13.5,0.2994802683265847,0.604339155133861,26.954274607424022,bursting,126,14.5,0.30787375712878096,0.597175360544624,27.476453366975463,bursting,126,14.5,0.2699997180159603,0.5639680794067058,27.216254170154485,bursting,131,15.0,0.297603962677111,0.5759705103098721,27.273580912110106
25.93389127959182,43.48803280527052,-20.856655644326214,-97.42033094122115,bursting,129,14.5,0.2728814973440501,0.5562199293600688,27.033709272096885,bursting,129,14.5,0.31235670327018217,0.6033546518643658,27.38078921582505,bursting,129,13.5,0.2836536923913392,0.6396520292960627,27.148545661743945,bursting,127,12.5,0.30229428351704685,0.640861317610869,27.979953124463567
25.93389127959182,43.48803280527052,-20.856655644326214,-97.3239545542309,bursting,127,13.5,0.31584717607973445,0.6644518272425246,27.135898476200023,bursting,128,14.0,0.2967497198034312,0.5747621921430008,27.74003599903451,bursting,131,14.5,0.2715755462970837,0.5668452229118838,27.103160525965556,bursting,125,13.5,0.279861133855173,0.6550289850325877,27.838116285763316
25.93389127959182,43.48803280527052,-20.856655644326214,-94.61018456164383,bursting,122,14.5,0.27724368199873356,0.5756720971734498,27.123727312409432,bursting,130,15.5,0.320516106981116,0.5696545045429946,27.012261314239826,bursting,131,14.0,0.28110016178849795,0.5883218120311811,27.285395979884186,bursting,126,14.5,0.28473756493700364,0.5971218725741925,27.275081600476195
