g_s,tau_s,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D
0.4215408884552938,3.439696674471734,bursting,147,8.0,0.2405807853319907,1.05982724815855,30.99265719257301,bursting,138,8.0,0.23231943922893972,1.2517211165352358,31.867237636475057,bursting,144,8.0,0.28435930816440413,1.2398487384539085,30.90449902306346,bursting,137,9.0,0.29325070305176565,1.0415581710238517,32.15455302744857
0.4215408884552938,3.723602042756061,bursting,146,9.0,0.323259926056904,1.0716390719605637,28.151326066214985,bursting,141,8.5,0.25126778995583177,1.0905720050166312,29.916978068581045,bursting,147,8.0,0.29053848494067536,1.2169151201703678,29.54298584511965,bursting,136,8.0,0.26903017872839136,1.171989452094931,30.355394508279627
0.4215408884552938,3.8746248888475594,bursting,144,8.5,0.27734009145501626,1.1018676656933502,28.236570212557776,bursting,140,8.0,0.2696282152083567,1.123216893182073,29.441036833716968,bursting,149,9.5,0.2766094223528329,0.9183579759390212,27.78501149745991,bursting,142,9.5,0.30233671710400306,0.9576709442635508,28.66361332439358
0.4215408884552938,3.8845354842856117,bursting,143,8.5,0.27649873346467774,1.1258091753447788,28.32112877856763,bursting,143,8.5,0.30054998382400494,1.0783996549121107,28.943801066028296,bursting,149,9.0,0.29723980491854335,1.0376673238559715,28.30193509823762,bursting,140,9.0,0.3188405797101449,1.0134792743488394,29.08611273622999
0.4215408884552938,4.1981548116789895,bursting,153,10.0,0.3518572682070781,0.9749439407234084,25.59501134685364,bursting,138,9.0,0.3036811373445039,1.0154861640010155,27.218371002029322,bursting,147,9.5,0.3583723745854608,1.0527978101805553,26.429397765152892,bursting,139,10.5,0.30817223613933925,0.945313607789384,27.099005484740253
0.4215408884552938,4.258846628457771,bursting,150,10.0,0.3664793050587633,1.0219724067450175,25.494627427356892,bursting,140,8.5,0.26542954615941267,1.033805437816603,27.327272199114965,bursting,149,9.5,0.361098374853533,1.0189006062458605,25.8126876001363,bursting,139,9.5,0.32115844901866925,0.9573958831977023,27.031681735934324
0.4215408884552938,4.3011261122975615,bursting,151,10.0,0.34870624787611043,0.9709209184911886,25.368957222145937,bursting,137,9.0,0.30929503388287655,1.0114291493880851,26.718455348067984,bursting,148,9.5,0.36696325340572034,1.005378776454029,25.217244561412812,bursting,140,10.0,0.3648985557083906,0.8596973865199448,26.422532196136878
0.4215408884552938,4.482433738948142,bursting,151,10.0,0.37168411423925224,1.0163634515702813,24.45549303983045,bursting,135,9.0,0.3363606105273168,0.9509771290000477,25.810308646775866,bursting,150,10.0,0.37646939602756396,1.0133765707336846,24.30175933025724,bursting,136,9.5,0.3471663353856595,0.9696029475929605,25.41973777939896
0.4215408884552938,4.553641861411549,bursting,154,10.5,0.4000000000000001,0.9418412997409936,24.2271678551958,bursting,138,9.5,0.32523629058033876,0.9132003104881055,25.688705539596207,bursting,152,11.0,0.37241379310344813,0.895656068069861,24.23924669132885,bursting,135,10.5,0.37461752751518473,0.9133671279170662,25.22306488453695
0.4215408884552938,4.683908058793479,bursting,151,11.0,0.3830318153462257,0.8911861687906606,23.77785598785445,bursting,140,10.0,0.31058338648741474,0.9813061184436485,24.92292910504294,bursting,155,11.5,0.40331255869546634,0.8537522410996325,23.797087956409364,bursting,138,11.0,0.3303841676367868,0.9313154831199066,24.946666389453476
0.46046930607975584,3.439696674471734,bursting,142,9.0,0.2527004411988439,1.0142502155281705,32.33860158556757,bursting,134,8.5,0.23463144605224825,0.9711566475672525,33.29905867130648,bursting,134,10.5,0.2648700433188939,0.8330556481172945,32.10418338295221,bursting,138,10.5,0.2362310901352661,0.8427794867472925,32.16413699609534
0.46046930607975584,3.723602042756061,bursting,142,10.0,0.2778251312188775,0.8972230945224527,29.31954259699853,bursting,136,10.0,0.25986304395847154,0.8835873647006846,30.748583296852587,bursting,139,9.5,0.28964179245729416,0.9463871669900153,30.000241605820865,bursting,134,11.0,0.29395957003048284,0.8021819348628267,30.552464193498185
0.46046930607975584,3.8746248888475594,bursting,140,10.0,0.2850996376811596,0.9057971014492756,28.772599491819683,bursting,131,10.0,0.26701108314567057,0.883119176932927,29.710372044686192,bursting,141,10.0,0.2926200300075021,0.9377344336084023,28.655869496125167,bursting,133,11.0,0.3080286651281429,0.8097493825660957,29.291253232128405
0.46046930607975584,3.8845354842856117,bursting,141,10.0,0.2944733511461119,0.9375146486663853,28.951618316815566,bursting,130,8.5,0.24773536895674286,1.0178117048346056,29.75364589488341,bursting,143,11.0,0.2839301592433916,0.8083420903726455,28.91912838582012,bursting,134,11.0,0.28318621093586593,0.8367150566874452,29.541938393346754
0.46046930607975584,4.1981548116789895,bursting,143,11.0,0.3194669997917967,0.8328128253175098,26.796386263250998,bursting,131,10.5,0.29022774145421054,0.8776163938742375,27.651746163665525,bursting,144,12.0,0.3255292358542535,0.7869678130164472,26.811475917706254,bursting,133,11.5,0.28805753070458956,0.8080155138978669,27.813560783643343
0.46046930607975584,4.258846628457771,bursting,145,11.0,0.33003632544093836,0.8753118298393802,26.73195791580043,bursting,130,10.5,0.2959986947832115,0.8157604927193374,27.528258159201954,bursting,140,11.0,0.2916576568784329,0.8649396704579857,26.560304004236922,bursting,135,10.5,0.2929928498467826,0.8171603677221655,27.92492381666618
