tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
3.5339400025595102,bursting,bursting,75,81,13.0,13.0,0.21507741027445468,0.21597815555359806,0.5864414731409805,0.5872163011245191,32.97736109647677,32.9011790933125,"[-52.         -52.00000038 -52.0000019  ... -54.94812521 -54.94786618
 -54.94760714]","[-52.         -52.00000038 -52.0000019  ... -55.98611536 -55.98600651
 -55.98589761]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
3.5705731851886764,bursting,bursting,78,84,13.5,13.5,0.21702402252661818,0.21507027966961328,0.5866306866512185,0.5796261411389654,32.273519642437975,32.22292384457096,,,
3.8804511538385014,bursting,bursting,83,75,14.0,14.0,0.23868984993632006,0.23575579816414102,0.5537405171936431,0.5431535495084461,30.378837123194447,30.318048485886877,"[-52.         -52.00000032 -52.00000158 ... -56.06615243 -56.06605802
 -56.06596355]","[-52.         -52.00000032 -52.00000158 ... -54.76345202 -54.76318821
 -54.7629244 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
3.9825988112977626,bursting,bursting,85,77,15.0,15.0,0.25292611558156536,0.25057727732662216,0.5225206395652627,0.5189009677503048,29.331986615134323,29.3377720175716,,,
4.017990874528758,bursting,bursting,86,77,15.0,15.0,0.25474848674598227,0.2557567095442274,0.5218117303276978,0.5293526017680374,29.113884740000373,29.15892112553656,"[-52.         -52.0000003  -52.00000147 ... -59.21908658 -59.17711556
 -59.13536851]","[-52.         -52.0000003  -52.00000147 ... -55.67457669 -55.67445154
 -55.67432629]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.063196699330868,bursting,bursting,83,78,15.0,15.0,0.2537402908825521,0.24996816178905293,0.5212948965229629,0.5094113751560072,29.020278805701974,28.96987345271614,,,
4.095442762782422,bursting,bursting,83,78,15.0,15.0,0.2546431552587647,0.2571166688490244,0.521702838063439,0.523765876653136,28.893940498702076,28.76826433685502,"[-52.         -52.00000028 -52.00000142 ... -64.88621949 -64.81500185
 -64.74415357]","[-52.         -52.00000028 -52.00000142 ... -55.57536376 -55.57527866
 -55.57519342]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.158352993012739,bursting,bursting,80,80,15.0,15.0,0.2578624559571968,0.2581695939959348,0.5219887772412893,0.5211862198363475,28.539060775211503,28.497876882569045,,,
4.229732875369103,bursting,bursting,75,82,16.0,16.0,0.27182829809908543,0.27247685931955207,0.49567523358695376,0.49631486214854703,27.724449334212643,27.628533749863525,"[-52.         -52.00000027 -52.00000133 ... -52.03143677 -52.00139474
 -51.970929  ]","[-52.         -52.00000027 -52.00000133 ... -55.50470048 -55.50459764
 -55.50449475]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.316233184174,bursting,bursting,75,82,16.0,16.0,0.2733371289947272,0.27052279768729726,0.49508626878233525,0.4879119806786856,27.431029385534494,27.397388686353214,,,
