tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
4.359310269546686,bursting,bursting,76,83,16.0,16.0,0.2787865146058421,0.2750792363823985,0.5002000800320128,0.49138841797498833,27.17610962134749,27.153864317221394,"[-52.         -52.00000025 -52.00000125 ... -54.20073875 -54.20041454
 -54.20009025]","[-52.         -52.00000025 -52.00000125 ... -55.77976755 -55.77963245
 -55.77949733]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.588149802396627,bursting,bursting,80,82,17.0,17.0,0.2915521090353657,0.29186210131332085,0.4699800258489015,0.46904315196998114,25.996701473043395,25.95461314350684,,,
4.6747325124188706,bursting,bursting,79,81,17.0,17.0,0.2902453069215708,0.29055795967222164,0.4606702752504895,0.46036276585949726,25.689106592970752,25.628785217373903,"[-52.         -52.00000022 -52.00000109 ... -55.90567601 -55.88143856
 -55.85729266]","[-52.         -52.00000022 -52.00000109 ... -55.75096222 -55.75087789
 -55.75079346]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.709933922396952,bursting,bursting,82,77,17.0,17.5,0.28975914690200394,0.2832179581961155,0.45964331678617387,0.4480587853126331,25.607283327652702,25.356024077513112,,,
4.82922406657648,bursting,bursting,84,75,18.0,18.0,0.3039854357219626,0.30910880898574694,0.4386830734136124,0.4474973709529456,24.84015646521493,24.768884062571445,"[-52.         -52.0000002  -52.00000102 ... -55.81460094 -55.81448671
 -55.81437245]","[-52.         -52.0000002  -52.00000102 ... -53.3409972  -53.34018133
 -53.33936447]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.831263854274557,bursting,bursting,84,75,18.0,18.0,0.29686418685121113,0.3067210136901332,0.43252595155709356,0.4430463869567145,24.977001771389695,24.778520354009185,,,
4.83537928093241,bursting,bursting,85,74,18.0,18.0,0.29755961091503835,0.29886830158350886,0.43040371868812954,0.4344331733171145,24.899408308791767,24.910990919228094,"[-52.         -52.0000002  -52.00000102 ... -55.9454686  -55.94548864
 -55.94550855]","[-52.         -52.0000002  -52.00000102 ... -54.14573585 -54.14542326
 -54.14511059]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
4.954625174264129,bursting,bursting,84,78,19.0,19.0,0.31012333518028257,0.31575426935055706,0.41043321225553575,0.4180514621349888,24.201142270172518,24.066754001453646,,,
5.019665555064,bursting,bursting,86,79,19.0,19.0,0.316487329354179,0.32105017799627056,0.41306098845494543,0.4238006441769791,23.90695777717757,23.921215439202328,,,
5.343357938671881,bursting,bursting,87,77,21.0,21.0,0.3343988106299946,0.33640476102191413,0.3716781267422413,0.3707960992250361,22.58849115216149,22.520161258436193,"[-52.         -52.00000017 -52.00000083 ... -53.31367643 -53.3058738
 -53.29810425]","[-52.         -52.00000017 -52.00000083 ... -54.91270535 -54.91256661
 -54.91242782]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
