Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-22.914311639711332,bursting,bursting,75,82,16.0,16.0,0.26600308493203517,0.267688765888663,0.4820206304829848,0.48982390830496436,27.571262296679528,27.620793062270856,"[-52.         -52.00000026 -52.00000129 ... -54.67792206 -54.67765545
 -54.67738883]","[-52.         -52.00000026 -52.00000129 ... -55.94132594 -55.9412254
 -55.94112482]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-21.731662231386487,bursting,bursting,75,82,16.0,16.0,0.27170971709717096,0.27207920792079204,0.49200492004920054,0.49504950495049516,27.495329156019416,27.484587965877992,,,
-21.331019414577387,bursting,bursting,75,82,16.0,16.0,0.2726732379018279,0.27034223318758094,0.49531923324582683,0.4885555854117302,27.51577073879098,27.464322220189793,"[-52.         -52.00000026 -52.00000129 ... -54.05988597 -54.05952076
 -54.05915543]","[-52.         -52.00000026 -52.00000129 ... -55.76190928 -55.76177231
 -55.76163532]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-21.277755696486683,bursting,bursting,75,82,16.0,16.0,0.2679941719281203,0.2725628190513952,0.4856726566294318,0.4956138177132379,27.54541838032548,27.473057874179265,,,
-20.94074530858559,bursting,bursting,76,82,16.0,16.0,0.2722966869308336,0.26912181303116145,0.48829317122000043,0.4884243430692584,27.413790284564968,27.512562424932906,"[-52.         -52.00000026 -52.00000129 ... -54.30626348 -54.30595719
 -54.30565084]","[-52.         -52.00000026 -52.00000129 ... -55.83461373 -55.83448218
 -55.83435062]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-20.639342432714603,bursting,bursting,76,82,16.0,16.0,0.27012109128045536,0.2699694671525656,0.4863103632738413,0.49246528119767563,27.462718264701078,27.547708127473236,,,
-20.55028450245337,bursting,bursting,76,82,16.0,16.0,0.27012109128045536,0.2699694671525656,0.4863103632738413,0.49246528119767563,27.462718264701078,27.547708127473236,"[-52.         -52.00000026 -52.00000129 ... -54.5849214  -54.584648
 -54.58437458]","[-52.         -52.00000026 -52.00000129 ... -55.9340173  -55.93391265
 -55.93380796]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-19.864841861022217,bursting,bursting,76,82,16.0,16.0,0.27030388761523827,0.26834514788560243,0.4877810838495684,0.4888780249327794,27.483314477093316,27.564690700651365,,,
-19.766628381718544,bursting,bursting,76,82,16.0,16.0,0.26958357600465943,0.2723777871474988,0.48534265191224996,0.4960440487115256,27.474915818570484,27.478220784344966,"[-52.         -52.00000026 -52.00000129 ... -54.1137263  -54.11337984
 -54.11303327]","[-52.         -52.00000026 -52.00000129 ... -55.82193157 -55.82179885
 -55.82166613]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-19.562622806541974,bursting,bursting,76,82,16.0,16.0,0.27719709631551376,0.27144325859199064,0.4989148601791103,0.4895721139723881,27.36856780351708,27.426207239446754,,,
-19.552808902450636,bursting,bursting,76,82,16.0,16.0,0.27719709631551376,0.27144325859199064,0.4989148601791103,0.4895721139723881,27.36856780351708,27.426207239446754,"[-52.         -52.00000026 -52.00000129 ... -53.99794116 -53.99755747
 -53.99717364]","[-52.         -52.00000026 -52.00000129 ... -55.75412246 -55.75398395
 -55.75384543]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-19.53567735386656,bursting,bursting,76,82,16.0,16.0,0.27719709631551376,0.27144325859199064,0.4989148601791103,0.4895721139723881,27.36856780351708,27.426207239446754,,,
-19.421761202620033,bursting,bursting,76,82,16.0,16.0,0.269841657706969,0.2694681452703534,0.4887107809598278,0.49177506208660154,27.510469854648765,27.5573172132402,"[-52.         -52.00000026 -52.00000129 ... -54.4165982  -54.41631622
 -54.41603419]","[-52.         -52.00000026 -52.00000129 ... -55.96838368 -55.96828819
 -55.96819264]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-18.91369146338961,bursting,bursting,75,82,16.0,16.0,0.2721301760537297,0.2681565601417098,0.4938393540581248,0.48530732086093514,27.499713119332842,27.507577093271323,,,
-18.73742354832292,bursting,bursting,76,82,16.0,16.0,0.2773469438319169,0.27223627034591125,0.4955278610539877,0.49100238136154967,27.310340383812363,27.424602631814476,"[-52.         -52.00000026 -52.00000129 ... -61.81637608 -61.76224943
 -61.70838139]","[-52.         -52.00000026 -52.00000129 ... -55.47513412 -55.47504735
 -55.47496051]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-18.64217287385621,bursting,bursting,77,81,16.0,16.0,0.2745069069956416,0.2713548069830342,0.4924774075989262,0.49176297024834026,27.366474052286986,27.471759730875124,,,
-18.513491657593114,bursting,bursting,77,81,16.0,16.0,0.27508491805717383,0.2713404182379157,0.4958718667096424,0.4897399480875655,27.410100454746836,27.431017088002488,"[-52.         -52.00000026 -52.00000129 ... -54.33391609 -54.33362046
 -54.33332477]","[-52.         -52.00000026 -52.00000129 ... -55.90730696 -55.90718475
 -55.90706253]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-18.25714244410362,bursting,bursting,77,81,16.0,16.0,0.28354514367376116,0.2823044017515881,0.5103863624763947,0.5062394006125496,27.21054969065158,27.184379935503156,,,
-18.063443290817037,bursting,bursting,77,81,16.0,16.0,0.2835523797371444,0.2788249999999999,0.510399387520735,0.5,27.21054969065158,27.270466257400322,,,
