g_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.39892312754526665,bursting,bursting,96,91,12.0,12.0,0.3338715878508264,0.3296886232075971,0.7689350249903883,0.7566872233362336,25.675615206859387,25.652796149626393,"[-52.         -52.00000021 -52.00000103 ... -54.82672406 -54.82668083
 -54.82663742]","[-52.         -52.00000021 -52.00000103 ... -52.01699829 -51.9930878
 -51.96888132]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.4380684108120857,bursting,bursting,90,93,13.0,13.0,0.30992166223985446,0.30320000000000014,0.6724271257102511,0.6666666666666669,26.483963379771666,26.63981017669271,,,
0.43829309954198914,bursting,bursting,91,89,13.0,13.0,0.3032575580032809,0.30645651220088416,0.669590545381499,0.6750143440548113,26.717690115195662,26.634840883953718,"[-52.         -52.00000023 -52.00000113 ... -55.38466313 -55.38456745
 -55.38447161]","[-52.         -52.00000023 -52.00000113 ... -53.61315555 -53.59592441
 -53.57872166]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.44603995493713916,bursting,bursting,93,86,14.0,13.5,0.31061238369037664,0.31650411168483455,0.6182571331416735,0.637470516988589,26.415125316256425,26.68266249125661,,,
0.46890071919398574,bursting,bursting,83,89,14.0,14.0,0.2868339492192157,0.28762273132996163,0.5960185957801882,0.5950609937518595,27.241575473038914,27.170432712545946,"[-52.         -52.00000024 -52.00000121 ... -54.67478551 -54.67448964
 -54.67419375]","[-52.         -52.00000024 -52.00000121 ... -55.41072582 -55.41093902
 -55.41115189]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.47104098838833064,bursting,bursting,85,90,14.5,14.5,0.2817045687359148,0.2756289037877485,0.5853601428278747,0.5730330640077933,26.992806842353122,27.087304422836155,,,
0.4782207595680393,bursting,bursting,86,85,15.0,15.0,0.28959000994585044,0.29467244455773645,0.5525472427892584,0.5664599087999548,27.089195862834778,27.00388422804934,"[-52.         -52.00000025 -52.00000123 ... -55.83743981 -55.83744338
 -55.83744655]","[-52.         -52.00000025 -52.00000123 ... -80.5615453  -80.41721785
 -80.27359836]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.49231351846763316,bursting,bursting,85,80,15.5,15.5,0.26616545278930753,0.26224036560630565,0.5220977889158639,0.5134920023620633,27.398154312497407,27.406447372491314,,,
0.4966749399842597,bursting,bursting,78,82,16.0,16.0,0.27670201510715253,0.2783409444472326,0.4920896587358216,0.501831685652632,27.27320022633881,27.29230620222602,"[-52.         -52.00000026 -52.00000128 ... -68.08134591 -67.99704396
 -67.91315452]","[-52.         -52.00000026 -52.00000128 ... -55.52189044 -55.52191798
 -55.52194535]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.5025920619929716,bursting,bursting,75,82,16.0,16.0,0.2706297502714441,0.2667908191646313,0.49353469548909285,0.4837110310300626,27.584470522605994,27.55720728818724,,,
0.5067932684609073,bursting,bursting,76,80,16.0,16.0,0.2615380919203324,0.26149494174617627,0.48050356773899044,0.4794553387351968,27.782847613932812,27.73852198554023,"[-52.         -52.00000026 -52.0000013  ... -55.7508406  -55.75064211
 -55.75044358]","[-52.         -52.00000026 -52.0000013  ... -53.95586773 -53.95799838
 -53.96012715]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.5090387685774133,bursting,bursting,76,79,16.0,16.0,0.2517091937240724,0.2544818847381265,0.46351016246031196,0.46930730242162555,27.919346198037598,27.880733045302314,,,
0.5205443953189971,bursting,bursting,77,70,17.0,17.0,0.24246321204199517,0.24268379728765138,0.42163848716110797,0.4198681613973212,28.030090605777687,27.95572581874784,"[-52.         -52.00000027 -52.00000134 ... -52.0499781  -52.03667707
 -52.02328992]","[-52.         -52.00000027 -52.00000134 ... -55.93493992 -55.93484309
 -55.93474615]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.5223053598778914,bursting,bursting,77,71,17.0,17.0,0.24066651276993115,0.24623351162443802,0.4197183689744181,0.42619387559400784,28.08770271856145,27.924012696328674,,,
0.5301874319400536,bursting,bursting,66,72,18.0,18.0,0.2297163557597146,0.2289873394188403,0.37346180419397595,0.37182323523396976,28.000145874270235,27.962542202055985,"[-52.         -52.00000027 -52.00000136 ... -55.91777567 -55.91757786
 -55.91738005]","[-52.         -52.00000027 -52.00000136 ... -55.83679753 -55.83760104
 -55.83840383]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.5367199975903291,bursting,bursting,66,55,18.0,18.0,0.21034476751276107,,0.3484259856100068,,28.365530431478895,28.2593999150194,,,
0.5469806455132192,bursting,bursting,50,38,19.0,,,,,,28.624890982511047,,"[-52.         -52.00000028 -52.00000141 ... -55.0507879  -55.05071756
 -55.05064723]","[-52.         -52.00000028 -52.00000141 ... -54.21785956 -54.21778593
 -54.21771229]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.5629987395527539,quiescent,quiescent,0,0,,,,,,,,,,,
0.5689367766394391,quiescent,quiescent,0,0,,,,,,,,,,,
