Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-56.36881368020514,bursting,bursting,58,62,12.0,12.0,0.19778385309558924,0.1947825671869776,0.48387486995862866,0.4773497541648766,27.220403182033166,27.2588804192201,"[-52.         -52.00000026 -52.00000129 ... -55.10037868 -55.10018019
 -55.09998169]","[-52.         -52.00000026 -52.00000129 ... -56.18218606 -56.18216002
 -56.18213389]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-56.287302321594446,bursting,bursting,57,62,12.0,12.0,0.20190246186451122,0.19395195882184743,0.492865768008083,0.4765989896101422,27.166955508807465,27.330979711331896,,,
-56.231618186888966,bursting,bursting,58,63,12.0,12.0,0.1992042569810585,0.19833455792309598,0.4881859011911736,0.48983590497183443,27.26939720176339,27.333242614739003,"[-52.         -52.00000026 -52.00000129 ... -54.71452435 -54.71432524
 -54.71412613]","[-52.         -52.00000026 -52.00000129 ... -56.00593889 -56.00583426
 -56.00572963]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-55.540833630900494,bursting,bursting,61,65,12.5,13.0,0.20116049320961404,0.2174667019918589,0.5002125903508993,0.48170717021122866,27.286173710729397,27.002413750374313,,,
-54.663662191171994,bursting,bursting,64,69,13.0,13.0,0.2230469048894333,0.219732508234355,0.510112990027291,0.4990518015770037,27.589898617737834,27.546468271210813,"[-52.         -52.00000026 -52.00000129 ... -51.62586651 -51.59070705
 -51.55480553]","[-52.         -52.00000026 -52.00000129 ... -55.5027495  -55.50271265
 -55.5026757 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-54.227304675248156,bursting,bursting,66,72,14.0,14.0,0.24353127913128952,0.2375946070915773,0.5038925701040536,0.4867245868925069,27.131185224755942,27.16067605592148,,,
-54.1133580852,bursting,bursting,75,66,13.5,14.0,0.2368187048854485,0.2363373325684068,0.5230672664504655,0.4988650819385897,26.90992122556042,27.455785827324657,"[-52.         -52.00000026 -52.00000129 ... -56.11317978 -56.11317352
 -56.11316715]","[-52.         -52.00000026 -52.00000129 ... -54.91725314 -54.91702544
 -54.91679774]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-53.83109446253879,bursting,bursting,68,73,14.0,14.0,0.24064638593336327,0.23955250087794105,0.49952545082171934,0.5016806301108713,27.377059784453692,27.461206624564657,,,
-52.96128429043536,bursting,bursting,72,77,15.0,15.0,0.2592370381480924,0.2590902213929094,0.49997500124993755,0.5043118664582178,27.35578951721342,27.419592157622468,"[-52.         -52.00000026 -52.00000129 ... -52.35658269 -52.33068699
 -52.30455009]","[-52.         -52.00000026 -52.00000129 ... -55.49340836 -55.49331367
 -55.49321894]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-52.80355330675777,bursting,bursting,72,77,15.0,15.0,0.25624472364304485,0.25221129614073223,0.4965983016338083,0.49414438899046303,27.487859730600785,27.63153339044865,,,
-52.592526779805354,bursting,bursting,81,72,14.5,15.5,0.25288605891183913,0.2707827409424289,0.5176787285810426,0.49059288149728963,27.264361359211474,27.55500199562195,"[-52.         -52.00000026 -52.00000129 ... -55.92788835 -55.92778493
 -55.92768147]","[-52.         -52.00000026 -52.00000129 ... -54.3939621  -54.39367998
 -54.39339782]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-50.09969086530679,bursting,bursting,85,92,18.0,18.0,0.297467282711241,0.2938029635941866,0.4838046396864945,0.4734176016664299,27.793586404937876,27.727441737146847,,,
-49.85379041970086,bursting,bursting,86,94,18.0,18.0,0.296697464598461,0.29367094615439393,0.4824741273249221,0.47461971095659594,27.878863142293433,27.815149091466143,"[-52.         -52.00000026 -52.00000129 ... -55.77495015 -55.77507174
 -55.77517558]","[-52.         -52.00000026 -52.00000129 ... -87.0192588  -86.84187382
 -86.66536921]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-49.75973078435901,bursting,bursting,87,94,18.5,18.5,0.29301004701334005,0.2912974646156756,0.4772927952652556,0.472578625268779,27.700710107226055,27.626464818559626,,,
-49.23199223512259,bursting,bursting,90,91,19.0,19.5,0.298487626031164,0.32382223831289336,0.45829514207149397,0.4525501199257818,27.925255106228207,27.58097061726678,"[-52.         -52.00000026 -52.00000129 ... -56.00108783 -56.00105412
 -56.0010202 ]","[-52.         -52.00000026 -52.00000129 ... -69.02416603 -68.93548907
 -68.84724914]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-48.79690700260742,bursting,bursting,93,92,20.0,20.0,0.3187625938816631,0.31750205798957265,0.4579593332112108,0.4573310161895181,27.665719586923693,27.685134158249028,,,
