Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-88.71816837536491,bursting,bursting,76,82,16.0,16.0,0.27805024522069843,0.27245325556889716,0.5004504053648283,0.4901119905898498,27.35469267663483,27.39595139850519,"[-52.         -52.00000026 -52.00000129 ... -52.93718673 -52.91467628
 -52.89208615]","[-52.         -52.00000026 -52.00000129 ... -55.54049076 -55.54038696
 -55.54028313]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-88.57314278030957,bursting,bursting,75,82,16.0,16.0,0.2785920804525454,0.2759409906211905,0.502828409805154,0.4975495683757494,27.357191279353664,27.37248243501034,,,
-88.53522241405496,bursting,bursting,75,82,16.0,16.0,0.2740237271379138,0.27247661250615446,0.49431537320810687,0.49236829148202843,27.424413815673923,27.430191393101538,"[-52.         -52.00000026 -52.00000129 ... -52.54426272 -52.54096983
 -52.53765798]","[-52.         -52.00000026 -52.00000129 ... -55.47035755 -55.47021006
 -55.47006258]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-85.52555330351612,bursting,bursting,76,82,16.0,16.0,0.27875862758827663,0.27600965486351337,0.5001500450135039,0.49767337696269925,27.30294257761965,27.35450926547016,,,
-84.7239990177665,bursting,bursting,78,82,16.0,16.0,0.27874226957752796,0.27728657775113663,0.49673397412015985,0.49952545082171934,27.261830068225837,27.329286782987854,"[-52.         -52.00000026 -52.00000129 ... -57.11633652 -57.08415826
 -57.05211959]","[-52.         -52.00000026 -52.00000129 ... -55.57420524 -55.5741567
 -55.57410805]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-84.36968645429397,bursting,bursting,80,81,15.5,15.5,0.29538477548259523,0.26068682726806747,0.5203184348821478,0.512557662737058,27.291679887459093,27.535186354934567,,,
-83.78563181339008,bursting,bursting,85,74,14.5,15.5,0.26329600173132073,0.2790292406652826,0.54103771032841,0.5125445273058098,27.35698547619767,27.768009257355168,"[-52.         -52.00000026 -52.00000129 ... -55.81967708 -55.81954194
 -55.81940678]","[-52.         -52.00000026 -52.00000129 ... -53.19040971 -53.18932749
 -53.18824339]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
-83.5989607818643,bursting,bursting,82,81,15.5,15.5,0.26211724880750903,0.29007496405832806,0.5128994204236548,0.5134524543027317,27.482738095383187,27.35823410632998,,,
-82.85987488320067,bursting,bursting,83,80,15.0,15.0,0.26816331889195205,0.2694463539738776,0.5251411316791388,0.5287927661149596,27.69304343557667,27.688775139531362,,,
-82.27821706868562,bursting,bursting,80,81,15.0,15.5,0.26852071943586114,0.2647885125643829,0.5282201621635898,0.5202642942614847,27.73499074914355,27.449988983421985,"[-52.         -52.00000026 -52.00000129 ... -52.09085341 -52.06631101
 -52.04148667]","[-52.         -52.00000026 -52.00000129 ... -55.50951773 -55.50942794
 -55.50933807]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
