g_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.014796932115297711,bursting,bursting,83,76,16.0,16.0,0.2623924227126308,0.26004248514213407,0.480792345785855,0.47736114757619874,27.731818768005905,27.783386711066942,"[-52.         -52.00000026 -52.00000129 ... -55.49229336 -55.49295538
 -55.49361674]","[-51.89984756 -51.89969489 -51.89954245 ... -55.3864102  -55.38617216
 -55.38593411]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.014856441727178274,bursting,bursting,84,76,15.0,16.5,0.2396582733812949,0.28355401028767413,0.49960031974420466,0.47628119641836525,27.52809217257606,27.473342906946918,"[-52.         -52.00000026 -52.00000129 ... -54.87508017 -54.87632409
 -54.87756688]","[-51.89984756 -51.89969489 -51.89954245 ... -55.6050655  -55.60483535
 -55.60460519]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.015003928298712423,bursting,bursting,82,75,16.0,16.0,0.26529377601393844,0.2654063816977725,0.48398025360565283,0.481637567730283,27.62751367277093,27.58015679538092,"[-52.         -52.00000026 -52.00000129 ... -55.97638031 -55.97630284
 -55.97622531]","[-51.89984756 -51.89969489 -51.89954245 ... -54.65796985 -54.65770492
 -54.65743996]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.015498902840465404,bursting,bursting,81,76,16.0,16.0,0.26712824471678087,0.26770517813356404,0.48248576666988313,0.480792345785855,27.429521532480237,27.390714425513004,"[-52.         -52.00000026 -52.00000129 ... -56.04927922 -56.04933486
 -56.04939033]","[-51.89984756 -51.89969489 -51.89954245 ... -55.03242197 -55.03217163
 -55.03192127]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.015770769888685917,bursting,bursting,80,73,15.5,15.0,0.25247561611197994,0.25429794049198,0.4963641327277692,0.5004879757763819,27.452832965458672,27.807983296644085,"[-52.         -52.00000026 -52.00000129 ... -55.89230423 -55.89217858
 -55.8920529 ]","[-51.89984756 -51.89969489 -51.89954245 ... -54.26341475 -54.26309946
 -54.2627841 ]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.015785337577596262,bursting,bursting,78,74,15.0,15.0,0.2552215867577033,0.25704493526275685,0.503892570104054,0.5077430820005078,27.839336654979682,27.80515355416942,"[-52.         -52.00000026 -52.00000129 ... -55.57464804 -55.57467325
 -55.57469829]","[-51.89984756 -51.89969489 -51.89954245 ... -60.35359432 -60.30647599
 -60.25957981]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.01588479719097052,bursting,bursting,78,73,15.0,15.0,0.2530997639458316,0.25603075685998605,0.49695614362032553,0.5025630716654941,27.78078106253182,27.751937373879116,"[-52.         -52.00000026 -52.00000129 ... -55.46031102 -55.46030131
 -55.46029147]","[-51.89984756 -51.89969489 -51.89954245 ... -71.34468063 -71.24414771
 -71.14410897]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.016339214158581906,bursting,bursting,78,73,15.0,15.0,0.25509289236439714,0.2553834624031975,0.4980823828261195,0.49962528103922055,27.637031751172238,27.66176315114986,"[-52.         -52.00000026 -52.00000129 ... -55.53537886 -55.53596136
 -55.53648075]","[-51.89984756 -51.89969489 -51.89954245 ... -89.53623402 -89.34587863
 -89.15646563]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.016998098466113287,bursting,bursting,74,76,15.0,15.0,0.26088264794383126,0.2581997038821552,0.5015045135406219,0.5018946523124796,27.31718122776514,27.456425818691745,"[-52.         -52.00000026 -52.00000129 ... -78.9417375  -78.80385297
 -78.66664985]","[-51.89984756 -51.89969489 -51.89954245 ... -55.69336348 -55.69344198
 -55.69352019]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
0.01765971760925188,bursting,bursting,77,73,14.0,14.0,0.24357585139318857,0.24464618249534448,0.5159958720330238,0.5172770535899027,27.788828223551597,27.751248840002454,"[-52.         -52.00000026 -52.00000129 ... -71.4113203  -71.31107025
 -71.21131611]","[-51.89984756 -51.89969489 -51.89954245 ... -55.94654541 -55.94650998
 -55.94647435]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 9.99985e+00 9.99990e+00
 9.99995e+00]"
