g_syn_i,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
20.0,bursting,bursting,36,44,12.0,14.666666666666666,0.28317643460564657,0.3096158770063596,0.47489850703298064,0.6214933420133372,27.209250749311817,27.51306540442289,"[-52.         -52.00000026 -52.00000129 ... -60.07650682 -60.0307152
 -59.98513879]","[-51.89984756 -51.89969489 -51.89954245 ... -55.59786709 -55.59783291
 -55.59779862]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
22.22222222222222,bursting,bursting,44,35,14.666666666666666,11.666666666666666,0.31339872111707207,0.28409132429554945,0.6174124195689441,0.4727870179487107,27.27839676993682,26.933672464443433,,,
24.444444444444443,bursting,bursting,35,43,11.666666666666666,14.333333333333334,0.2786341028955638,0.2904489792484506,0.47035716923741855,0.6410530406824848,27.213315399893375,27.512220994861963,,,
26.666666666666668,bursting,bursting,35,44,17.5,14.666666666666666,0.29317190226876083,0.29613125109855215,0.43630017452006975,0.6168951683201702,26.56912314381505,27.434831223524064,,,
28.88888888888889,bursting,bursting,34,43,17.0,14.333333333333334,0.29507029720590844,0.28935624107569297,0.4449190247374977,0.6341536169276408,26.888214948057737,27.457020777287397,,,
31.11111111111111,bursting,bursting,35,43,11.666666666666666,14.333333333333334,0.2896406319261813,0.2949284406598568,0.8229101902974194,0.6314206327598111,27.184286372378587,26.380142599242458,"[-52.         -52.00000026 -52.00000129 ... -54.4262477  -54.42596043
 -54.42567312]","[-51.89984756 -51.89969489 -51.89954245 ... -55.99222239 -55.99212716
 -55.99203189]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
33.333333333333336,bursting,bursting,43,35,14.333333333333334,17.5,0.2869945199707863,0.2979382336379781,0.6163063665452961,0.4331441937020834,27.320592302374383,26.296698787746433,,,
35.55555555555556,bursting,bursting,35,43,17.5,14.333333333333334,0.2893359111941433,0.2791609020551203,0.434470923033476,0.6250095951008531,26.661948548911926,27.558707871590734,,,
37.77777777777778,bursting,bursting,42,35,14.0,17.5,0.27567285444783773,0.29534594488446686,0.6350198221905119,0.4363858523706661,27.299335446628536,26.47070734993015,,,
40.0,bursting,bursting,42,36,14.0,18.0,0.2651446431308488,0.30784708249496984,0.6228124140450628,0.42810051800162674,27.318130067971534,26.363064988141414,"[-52.         -52.00000026 -52.00000129 ... -55.91586899 -55.91578649
 -55.91570393]","[-51.89984756 -51.89969489 -51.89954245 ... -54.80493141 -54.80466797
 -54.80440453]","[0.00000e+00 5.00000e-05 1.00000e-04 ... 4.99985e+00 4.99990e+00
 4.99995e+00]"
