peaks,spike_count,mean_isi,cv_isi,n_bursts,mean_spikes_per_burst,interburst_freq,intraburst_freq,duty_cycle,regime
14364,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
15018,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
15683,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
16360,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
17049,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
17752,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
18471,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
19209,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
19970,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
20761,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
21542,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
22320,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
23101,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
23891,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
24694,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
25518,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
26372,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
27277,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
28330,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
60677,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
61334,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
61994,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
62657,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
63325,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
63998,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
64678,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
65367,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
66066,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
66776,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
67500,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
68241,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
69003,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
69792,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
70618,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
71504,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
72719,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
105521,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
106178,78,0.12035194805194807,2.957538384786948,5,15.6,0.444712402054666,27.40104321826773,0.27022430052393237,bursting
