g_us,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
0.013377851910911336,bursting,116,18.5,0.27379123076599216,0.4209905908602943,27.894365954244275,bursting,111,18.5,0.2772048960429242,0.41918175720992634,27.61920465807527,bursting,105,18.0,0.2660380607939377,0.4305519676224921,27.78659021068797,bursting,125,16.5,0.24452285411189517,0.46123333794566673,27.185566172316083,"[-52.         -52.00000026 -52.00000129 ... -55.68494924 -55.68481212
 -55.68467499]","[-51.89984756 -51.89969489 -51.89954245 ... -53.50526396 -53.50455945
 -53.50385425]","[-51.79939024 -51.79877697 -51.79816057 ... -54.36416757 -54.36385551
 -54.36354341]","[-51.69862805 -51.69724371 -51.69584717 ... -55.46187514 -55.46173015
 -55.46158515]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
0.014162586608657754,bursting,114,18.0,0.26505434667006994,0.425414247123136,27.542376223681398,bursting,116,17.5,0.26757971324630875,0.4279905842071474,27.697316574635142,bursting,110,18.0,0.2716387052311933,0.4307281459306957,27.29876077285919,bursting,115,15.5,0.2235028931285293,0.46475960309529896,27.565666149964915,,,,,
0.014266270291188479,bursting,109,17.0,0.25605719581623215,0.4413257425305618,27.85686042049503,bursting,118,17.0,0.26346015793251987,0.44867193108399145,27.6047231600024,bursting,110,17.5,0.2662598536341721,0.43431996351712315,27.949653815880794,bursting,117,17.5,0.23140203101629545,0.39360780917893406,27.596928006619233,,,,,
0.014571154003576578,bursting,104,17.0,0.25685127347908354,0.4398891479347203,27.759222793483154,bursting,118,17.0,0.2695437339921574,0.45331943153743276,27.368677252008094,bursting,110,17.5,0.26751661763103396,0.4358722894192002,27.881559426623216,bursting,117,17.5,0.23178100289483386,0.3885683200248683,27.37629843283484,,,,,
0.014762708821465815,bursting,81,19.0,0.17648831538861964,0.2739650968466617,28.204337532538325,bursting,125,15.0,0.2383155054447336,0.48183482702129704,27.334267051741172,bursting,86,18.0,0.16146523005728797,0.2787728419497372,28.073776146042114,bursting,124,15.5,0.2506025281589691,0.49185972160739766,27.710729548968484,,,,,
0.01571203280023924,bursting,108,16.0,0.2455107381339109,0.4511820970943873,27.870095394313694,bursting,111,16.0,0.25604509375359474,0.4601403428045553,27.491745347795632,bursting,104,16.5,0.25572923566035244,0.4415595884664635,27.925612842172537,bursting,115,16.5,0.22284190106692517,0.40413837698027805,27.567862786879545,,,,,
0.015787744689135852,bursting,110,16.0,0.24649112894112335,0.452028477794101,27.821867566289203,bursting,107,16.0,0.25519056884514146,0.45782305139063745,27.4694153538495,bursting,103,16.0,0.24486243302511693,0.45215110890059446,27.912485185406393,bursting,114,16.0,0.24618678084024617,0.4459905450004459,27.637786388733925,,,,,
0.01628814449916777,bursting,109,16.0,0.25140503765728434,0.4550729254363012,27.579764770494663,bursting,109,15.5,0.23431397471747814,0.4622033232418941,27.682164016327786,bursting,104,16.5,0.26275215498089416,0.4443259575224386,27.607119032261245,bursting,113,15.5,0.20501845916670042,0.40569597143900354,27.996641083598938,,,,,
0.01644470065313052,bursting,107,15.5,0.2332886464497041,0.4622781065088758,27.806643890522583,bursting,108,15.0,0.24150281065439635,0.47437204999881416,27.818827171264363,bursting,103,16.0,0.2444469653998864,0.45377197958026105,27.880856388379943,bursting,112,15.5,0.21054164239953405,0.41600798735335714,27.904122619570565,,,,,
0.016447204156100566,bursting,108,16.0,0.2547894029476752,0.4555912435362993,27.436730697906725,bursting,108,15.5,0.23578102900600553,0.46372510375849185,27.585672850589088,bursting,103,16.0,0.2421637676919961,0.4500348777030219,27.908741668376667,bursting,113,15.5,0.20893921580760264,0.41251572716209806,27.91722222452252,"[-52.         -52.00000026 -52.00000129 ... -55.89320198 -55.89348918
 -55.89377601]","[-51.89984756 -51.89969489 -51.89954245 ... -55.17309987 -55.17285127
 -55.17260266]","[-51.79939024 -51.79877697 -51.79816057 ... -55.7459415  -55.74565425
 -55.74536701]","[-51.69862805 -51.69724371 -51.69584717 ... -56.06306533 -56.06303619
 -56.06300695]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
