Vi_threshold,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
-21.361859088807883,bursting,99,17.0,0.2549647243271491,0.43550213396045645,27.686360107275465,bursting,116,16.5,0.24171609508094358,0.44597065513089235,27.7047075638351,bursting,109,17.5,0.2632461577651355,0.4245563386261358,27.77506724891319,bursting,112,17.0,0.20718936826472706,0.3807928106317352,27.644594511738084,"[-52.         -52.00000026 -52.00000129 ... -53.28819137 -53.26769335
 -53.24717891]","[-51.89984756 -51.89969489 -51.89954245 ... -55.44065332 -55.44065016
 -55.44064683]","[-51.79939024 -51.79877697 -51.79816057 ... -56.52842732 -56.52840082
 -56.52837405]","[-51.69862805 -51.69724371 -51.69584717 ... -57.20101263 -57.16932349
 -57.13777753]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
-20.856655644326214,bursting,115,17.0,0.25675556729161164,0.4401021036880555,27.690920626135345,bursting,113,17.0,0.2634558400778382,0.44226261554110835,27.24321684988719,bursting,109,17.0,0.25676537184813925,0.43966673261667644,27.667197416641443,bursting,117,17.0,0.251941643424158,0.42909246942716145,27.585520117502142,,,,,
-20.70426710097646,bursting,114,17.0,0.2539851684318116,0.4349433486288411,27.714054021336757,bursting,113,17.0,0.2586401773681693,0.4347259053166978,27.42404223229046,bursting,109,17.0,0.2530094349853597,0.43379243032209086,27.743709819177234,bursting,116,17.0,0.25272180255838617,0.43289106296400504,27.625796561074367,,,,,
-20.36972472709052,bursting,116,17.0,0.25959403038109635,0.4441680731988984,27.63503210040838,bursting,113,17.0,0.2622140856254275,0.4411407900831551,27.354078884105817,bursting,109,17.0,0.2565809712151175,0.43946385409800043,27.678156029972932,bursting,119,17.0,0.25395033860045146,0.43410314290675467,27.594894743958562,,,,,
-20.309058964137606,bursting,115,17.0,0.25622768003856,0.43818329207107337,27.66154043422743,bursting,113,17.0,0.2652222637280539,0.4394735107341405,27.271094952253666,bursting,109,17.0,0.25577528876443817,0.4375218760938046,27.687642365975417,bursting,117,17.0,0.25518731045316684,0.4363668099404358,27.57975707602698,,,,,
-19.269111871271843,bursting,111,17.0,0.2586505379878595,0.43827931540770937,27.56957709635368,bursting,114,16.5,0.24628751974723542,0.4513653802753328,27.563973539892267,bursting,108,17.0,0.25175177367084195,0.43794341771043177,27.887679356855838,bursting,118,16.5,0.222269886015443,0.4085467990358295,27.839535138341652,,,,,
-19.174534776808024,bursting,109,17.0,0.2592851524949751,0.43694835270471033,27.52667846965864,bursting,115,16.5,0.2443407443968322,0.4487021290916025,27.614264178718514,bursting,109,17.5,0.27449748743718566,0.43320048518454346,27.515552320100266,bursting,116,16.5,0.21761957997285006,0.3992653517527749,27.857811950026772,,,,,
-19.138357993984236,bursting,118,17.0,0.2577459843763714,0.4388659703326604,27.611711138818826,bursting,112,16.5,0.24174304765727786,0.44602038313150916,27.68425995544637,bursting,109,17.0,0.25779080530700416,0.4407810640454886,27.651016379439056,bursting,120,17.0,0.25539904065287694,0.434093720834328,27.52609096279354,,,,,
-18.935381628893303,bursting,108,17.0,0.26360457086850964,0.44550375336912196,27.464537219099967,bursting,115,16.0,0.2485384123504157,0.4567461404951128,27.857302693894145,bursting,109,17.0,0.2653250506880635,0.43138777447047144,26.99487330751911,bursting,121,12.0,0.34500958185416736,0.6283183060538468,27.100839815699626,,,,,
-17.55491732265194,bursting,115,17.0,0.2660266475259076,0.4486115472612264,27.419707268427054,bursting,113,16.0,0.25083113607703794,0.4585578356070158,27.7808480546618,bursting,109,17.0,0.25543935835512044,0.443124916914078,27.803514614955624,bursting,119,16.5,0.2256103863885387,0.41347088131318355,27.7590658489256,"[-52.         -52.00000026 -52.00000129 ... -52.19214554 -52.18738481
 -52.18264338]","[-51.89984756 -51.89969489 -51.89954245 ... -55.71498393 -55.7148348
 -55.71468558]","[-51.79939024 -51.79877697 -51.79816057 ... -56.44665312 -56.44642729
 -56.44620138]","[-51.69862805 -51.69724371 -51.69584717 ... -54.61633113 -54.61787778
 -54.61942303]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
