delta_Vus,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
1.2853556966351123,bursting,148,33.0,0.36770413767850607,0.2929329915781765,27.203258028713506,bursting,145,32.0,0.32998676715954217,0.28767044473850745,27.42499793281503,bursting,138,32.0,0.3368706920726759,0.29518988089088305,27.533237386399463,bursting,148,33.0,0.3716713293959176,0.2960463016415767,27.079994584027318,"[-52.         -52.00000026 -52.00000129 ... -58.73956296 -58.70065328
 -58.66192578]","[-51.89984756 -51.89969489 -51.89954245 ... -55.84308115 -55.84297526
 -55.84286922]","[-51.79939024 -51.79877697 -51.79816057 ... -56.90714356 -56.90697321
 -56.90680267]","[-51.69862805 -51.69724371 -51.69584717 ... -50.94788371 -50.90131449
 -50.85308223]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
1.495526820625599,bursting,119,22.0,0.2893810805216309,0.3763572382905854,27.689689875794183,bursting,129,22.0,0.2999636105950625,0.3830463677628176,27.37803534725927,bursting,118,22.5,0.31612712926775316,0.36870437283386176,26.769484387377315,bursting,141,16.0,0.4143914263842819,0.5670380766068441,27.223568056365103,,,,,
1.5161905865053493,bursting,122,21.0,0.287696998495288,0.3959768749505028,27.782610419954647,bursting,125,21.0,0.285364994914326,0.39120569595493315,27.68013995366107,bursting,118,21.5,0.3015894553207988,0.38767202946307416,27.612127031160032,bursting,129,21.0,0.2805838915956152,0.3806333739342266,27.615906136766476,,,,,
1.5568686408065482,bursting,123,20.0,0.28107171964140176,0.40749796251018733,27.769727662568794,bursting,128,20.0,0.28299105430019567,0.40386906564891667,27.517166328206756,bursting,120,20.0,0.27680218106005944,0.4009301579664822,27.798199852553285,bursting,123,20.0,0.27663987555094643,0.398875172014918,27.67139212679148,,,,,
1.6824618500686976,bursting,104,17.0,0.2550429749166816,0.43851955797228553,27.810679224556402,bursting,118,17.0,0.2663423264042462,0.44228217602830605,27.364481686575765,bursting,109,17.5,0.26161950887925917,0.42484493159996606,27.899995450210692,bursting,116,17.0,0.20922579527740892,0.3848892481188537,27.777501566283284,,,,,
1.729438942347414,bursting,104,16.0,0.24575122039414227,0.4519978304104141,27.866881901702026,bursting,114,16.0,0.24773791660983052,0.4546901286773064,27.752568705750743,bursting,114,16.0,0.24623343619531676,0.45380286803412584,27.889088466679656,bursting,108,15.0,0.23435822352367008,0.4880429477794046,27.408299820560245,,,,,
1.772375572516522,bursting,108,16.0,0.2518449766831169,0.4527550142617829,27.41627144380576,bursting,106,15.0,0.23790294506718657,0.464155584952076,27.74228101517171,bursting,102,16.0,0.24014440755019723,0.4457023154235285,27.851580597433724,bursting,111,15.5,0.20785317968416553,0.4064792797187164,27.782154704389676,,,,,
1.791683618427284,bursting,108,15.0,0.23852091691888982,0.4692522465451303,27.82650072747978,bursting,109,15.0,0.2402190003994642,0.46995793876448066,27.664841506070555,bursting,103,15.0,0.23618971888301604,0.4677487253847233,27.912022062719878,bursting,108,15.0,0.23543858023261205,0.46337055743478045,27.78595916033242,,,,,
1.8316918131601259,bursting,105,15.0,0.24083292434971604,0.4674098483255042,27.508287868145953,bursting,104,14.5,0.2403131388217802,0.4645976584278015,27.70711927138373,bursting,106,15.0,0.24113276974312375,0.4657770325345256,27.46662833888976,bursting,107,13.5,0.2196844366527569,0.4938393540581248,27.5940405871544,,,,,
1.8352851363718854,bursting,99,14.5,0.250848261952782,0.474552141416538,27.54866411134178,bursting,110,14.0,0.2308864433426051,0.48373442979804077,27.691184183431485,bursting,104,15.0,0.2345301048334726,0.4638649225345579,27.750561410678905,bursting,103,14.5,0.20588491148710364,0.43495280762037325,27.726704797107704,"[-52.         -52.00000026 -52.00000129 ... -56.6948928  -56.69479802
 -56.69470302]","[-51.89984756 -51.89969489 -51.89954245 ... -53.76244194 -53.74737955
 -53.73236972]","[-51.79939024 -51.79877697 -51.79816057 ... -56.71681247 -56.68795728
 -56.65923375]","[-51.69862805 -51.69724371 -51.69584717 ... -55.65518339 -55.65515301
 -55.65512246]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
