Vus0,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
-56.986189524310795,bursting,82,12.0,0.18469680863094548,0.45235564200574485,27.210673698846037,bursting,83,11.5,0.17232069491724383,0.46953867824862083,27.21335981559369,bursting,77,12.0,0.17471712153378116,0.43772296513536596,27.577530630820686,bursting,87,12.0,0.1705864478881799,0.40514534589283896,27.066747926779485,"[-52.         -52.00000026 -52.00000129 ... -55.16469665 -55.16583646
 -55.16697524]","[-51.89984756 -51.89969489 -51.89954245 ... -55.70560631 -55.70541259
 -55.70521885]","[-51.79939024 -51.79877697 -51.79816057 ... -56.21248287 -56.21222266
 -56.21196245]","[-51.69862805 -51.69724371 -51.69584717 ... -56.15941662 -56.159568
 -56.15971915]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
-56.468320806992836,bursting,79,12.5,0.1940554444126896,0.43968606415019656,27.556154390740243,bursting,88,12.5,0.19676047694196044,0.43836577240049096,27.30319921911962,bursting,83,12.0,0.18494944852941175,0.45955882352941174,27.55745313518049,bursting,85,11.5,0.18788183532369584,0.5028284098051541,27.065222644418895,,,,,
-52.259614737128516,bursting,112,16.5,0.24369370381185584,0.44924638918214693,27.619170929370117,bursting,111,16.0,0.25463464062823865,0.4605854040485457,27.572085889115563,bursting,106,17.0,0.2563291838945762,0.44221372189179026,27.603288246249427,bursting,116,16.5,0.2247126554528878,0.40976049499067796,27.653503289423398,,,,,
-51.65664037268168,bursting,82,19.5,0.17392838721937198,0.2714661888861742,28.041020000467505,bursting,129,15.5,0.23839647107297782,0.484742722799874,27.158282225146902,bursting,86,18.5,0.16287079994376497,0.2811753128075355,27.791110124109775,bursting,127,16.0,0.26699193275687166,0.4830684507994782,27.63730739197952,,,,,
-50.082495922771,bursting,76,22.0,0.1966700539357462,0.26055915995726825,28.16004365464367,bursting,138,17.0,0.4087843137254899,0.6274509803921569,27.469196025512858,bursting,92,22.0,0.1979010299051025,0.2610659322011774,28.096143355038564,bursting,140,16.5,0.39600901190859333,0.6437077566784679,27.44080713266114,,,,,
-49.568951420289366,bursting,77,23.0,0.2058680270713697,0.25635767022149303,27.94718420740065,bursting,142,17.5,0.4270875447053336,0.62198724926139,27.618196146278112,bursting,94,22.0,0.19351988983293056,0.2598279938680594,28.447034525240415,bursting,139,17.0,0.41498806682577555,0.6364359586316625,27.560864295958922,,,,,
-47.95548193576947,bursting,144,22.0,0.31843865553201206,0.41547218413727194,27.766722257601828,bursting,133,22.0,0.3228718379342918,0.41985934711871536,27.659155041940608,quiescent,0,,,,,bursting,168,16.0,0.3932695713779666,0.708466170740347,27.27013173806211,,,,,
-47.43205843320219,bursting,129,24.0,0.3005871195014,0.36130430855387946,27.99806859463131,bursting,127,24.0,0.30354988022981466,0.36021108369504534,27.77820045792718,bursting,124,24.0,0.3013108375906767,0.3636165300074541,28.03480408975213,bursting,133,22.0,0.2616199400022221,0.37035665345727936,27.61679741482011,,,,,
-47.42713053071329,bursting,139,23.0,0.3257520325203253,0.4065040650406504,27.75654391144011,bursting,144,23.0,0.3247854699657951,0.40005600784109774,27.71126565527917,quiescent,0,,,,,bursting,178,17.0,0.415593853820598,0.6921373200442968,26.985033053976558,,,,,
-46.13834572376623,bursting,152,25.0,0.3260881806408021,0.3753965125663983,28.02959738310103,bursting,139,25.0,0.3306145783706527,0.38113387327298726,28.0011208584563,quiescent,0,,,,,bursting,188,18.0,0.4420320111343076,0.69589422407794,27.073420564450895,"[-52.         -52.00000026 -52.00000129 ... -57.03090511 -57.0023086
 -56.97385359]","[-51.89984756 -51.89969489 -51.89954245 ... -55.56539982 -55.56530856
 -55.56521716]","[-51.79939024 -51.79877697 -51.79816057 ... -56.42159752 -56.42150521
 -56.42141281]","[-51.69862805 -51.69724371 -51.69584717 ... -55.12491765 -55.1247203
 -55.12452294]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
