tau_us,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
226.044368392199,bursting,134,22.0,0.294095106717247,0.3831858067977163,27.696776648882572,bursting,123,22.0,0.29519922180472624,0.38146827137652833,27.541094187492043,bursting,117,22.0,0.2938991940887075,0.38285572082160835,27.712566306340584,bursting,134,22.0,0.29977058869274453,0.3888327241620655,27.53551913653099,"[-52.         -52.00000026 -52.00000129 ... -55.71475944 -55.71462807
 -55.71449666]","[-51.89984756 -51.89969489 -51.89954245 ... -54.13778515 -54.13742892
 -54.1370726 ]","[-51.79939024 -51.79877697 -51.79816057 ... -54.69798525 -54.69770576
 -54.69742626]","[-51.69862805 -51.69724371 -51.69584717 ... -55.34685929 -55.34668871
 -55.34651813]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
263.73656816262735,bursting,114,18.0,0.26555198285101844,0.4287245444801714,27.724034544973144,bursting,119,18.0,0.27079482439926056,0.42986717104414723,27.42883616128128,bursting,115,18.0,0.26508316586137604,0.4275879762261085,27.724223915834855,bursting,117,18.0,0.2638125358181393,0.42451128138730293,27.617784383171376,,,,,
273.57153966773257,bursting,111,17.0,0.2565386634009797,0.4373687893631911,27.716546500718557,bursting,116,16.5,0.24357912178956084,0.44783806175686874,27.73204966381495,bursting,109,17.5,0.2651623508315011,0.4269581367546912,27.796338279018936,bursting,118,17.5,0.23583278824998513,0.396424253235813,27.334870683397863,,,,,
275.98409500553703,bursting,106,17.0,0.25862485982541383,0.4397634072868796,27.637400709918793,bursting,117,16.5,0.2465035360039765,0.45188549221627256,27.61990310570512,bursting,108,17.0,0.2613704496788011,0.4282655246252677,27.126429036029897,bursting,120,11.5,0.34402323158991205,0.6312932041286577,27.47776688172816,,,,,
281.7449368651538,bursting,106,16.5,0.24457624825222138,0.45103964638491717,27.662963372967383,bursting,113,16.0,0.25242449431975605,0.46180844185831715,27.71721874372648,bursting,108,17.0,0.2532875173461972,0.4405383378488514,27.78733466570009,bursting,115,16.5,0.21655248444759437,0.39373178990471686,27.73128609742003,,,,,
282.141071005148,bursting,80,19.0,0.18109951287404313,0.27835768963117613,27.985933200980487,bursting,122,14.5,0.22293633259690698,0.502108857200241,27.436321385353274,bursting,89,17.5,0.15273091745839038,0.282338326016065,27.985394450553432,bursting,121,15.5,0.2551292598409494,0.4985914790716226,27.50138913001417,,,,,
282.5663814637621,bursting,106,16.5,0.24122855932014367,0.4460999710035019,27.70680228405536,bursting,112,16.0,0.2483206193783443,0.45542525333029726,27.778464700274252,bursting,105,17.0,0.26433291277291876,0.4276885571926522,26.866718231978464,bursting,121,12.0,0.3425594775307106,0.6219872492613903,26.864565209256536,,,,,
287.573659289566,bursting,104,16.0,0.24370747917461885,0.4490648225071289,27.873691867932187,bursting,114,16.0,0.24444643697742718,0.4483199210956939,27.74852335008018,bursting,115,16.0,0.24741660623640296,0.4532269760696156,27.783160588537406,bursting,108,15.0,0.2305503753646059,0.4781714722899632,27.37746879878336,,,,,
290.10710926059977,bursting,107,16.0,0.2481748514941278,0.4534530449371969,27.704781191199434,bursting,111,16.0,0.26244772532982125,0.4620965319655275,27.16275699460444,bursting,103,16.5,0.2560339492529397,0.44204756431792064,27.8426192290465,bursting,115,16.0,0.20101534875451865,0.39507733638859804,27.68108183487228,,,,,
298.0848142799305,bursting,108,15.5,0.23632247222481578,0.46680982167864793,27.566138309729634,bursting,106,15.0,0.2457614908025552,0.4802843283223667,27.626956084300314,bursting,102,16.0,0.24564165753924772,0.4563709382986491,27.73363035116741,bursting,111,15.5,0.20711258895805038,0.40550678210093055,27.77965100604051,"[-52.         -52.00000026 -52.00000129 ... -55.1908171  -55.19187402
 -55.19292995]","[-51.89984756 -51.89969489 -51.89954245 ... -55.32194023 -55.3217199
 -55.32149955]","[-51.79939024 -51.79877697 -51.79816057 ... -55.92313194 -55.92285724
 -55.92258253]","[-51.69862805 -51.69724371 -51.69584717 ... -56.01129099 -56.01131721
 -56.0113433 ]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
