g_syn_i,regime_A,spike_count_A,mean_spikes_per_burst_A,duty_cycle_A,interburst_freq_A,intraburst_freq_A,regime_B,spike_count_B,mean_spikes_per_burst_B,duty_cycle_B,interburst_freq_B,intraburst_freq_B,regime_C,spike_count_C,mean_spikes_per_burst_C,duty_cycle_C,interburst_freq_C,intraburst_freq_C,regime_D,spike_count_D,mean_spikes_per_burst_D,duty_cycle_D,interburst_freq_D,intraburst_freq_D,V_trace_A,V_trace_B,V_trace_C,V_trace_D,time
25.93389127959182,bursting,81,19.0,0.18621190958068468,0.2850545879535931,27.8988359400867,bursting,122,14.5,0.23083951132922617,0.5220841599665866,27.441816151803142,bursting,93,17.5,0.15817569242886106,0.29170252176830064,27.92979676421292,bursting,121,15.5,0.2595835666649697,0.5090872066384972,27.532560848155857,"[-52.         -52.00000026 -52.00000129 ... -54.67498369 -54.67471815
 -54.67445259]","[-51.89984756 -51.89969489 -51.89954245 ... -53.71946733 -53.71907696
 -53.71868636]","[-51.79939024 -51.79877697 -51.79816057 ... -56.02727181 -56.02734223
 -56.02741247]","[-51.69862805 -51.69724371 -51.69584717 ... -54.88300922 -54.88276109
 -54.88251295]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
26.444957185307178,bursting,110,17.0,0.2667880258899674,0.4494786048184106,27.402690117409218,bursting,118,16.5,0.2682258318168541,0.44932713261890317,27.569585421459884,bursting,121,17.0,0.2686334350627332,0.45213066576240546,27.37676394066122,bursting,110,15.0,0.22987507837746599,0.4823228669271209,27.65276230739667,,,,,
26.920297763009426,bursting,112,16.5,0.24749354831342643,0.45675657158517363,27.71674625529517,bursting,114,16.0,0.25554128226088973,0.46712600724045317,27.733821018651213,bursting,110,17.0,0.2576892037302725,0.4483500717360114,27.80606812648614,bursting,118,16.5,0.21914786967418545,0.4010025062656642,27.81956154327407,,,,,
28.4398304237146,bursting,110,17.0,0.26217470874436455,0.4463687898942107,27.55884948456132,bursting,119,16.5,0.23994774599238305,0.4428305730227616,27.709613574173204,bursting,120,17.0,0.26189267345091705,0.44149135780667104,27.49271655633879,bursting,112,15.5,0.24921985815602835,0.47281323877068565,27.392329317174926,,,,,
28.939146153144733,bursting,112,17.0,0.264909847434119,0.4474072748422889,27.461931427788624,bursting,114,16.0,0.2500057162455701,0.4572996455927747,27.792517009030963,bursting,108,17.0,0.2536356425171866,0.44068394147717266,27.855443418693557,bursting,119,16.5,0.22358032033797504,0.4101638604622546,27.81005191943044,,,,,
29.09160066435497,bursting,107,17.0,0.2627652704478143,0.44536486516578705,27.518712952743897,bursting,115,16.5,0.24586571480209662,0.4518344478583048,27.585875486653954,bursting,110,17.5,0.2710223572823962,0.43412198827870624,27.61942940609441,bursting,116,16.5,0.21021021021021027,0.38500038500038497,27.877458987433606,,,,,
29.593864230595422,bursting,106,17.0,0.26226288774827056,0.4463289444320464,27.561923486584618,bursting,115,16.0,0.24854448731706189,0.4566314299413228,27.84320194707987,bursting,110,17.5,0.2704096060559919,0.4350568836875422,27.652575499796217,bursting,116,16.5,0.21014966719248981,0.38474856681158864,27.902943668598045,,,,,
30.99780568093081,bursting,100,17.0,0.25302530253025307,0.43141569058866674,27.693100559029347,bursting,116,16.5,0.24144075913839572,0.4455037533691221,27.714986830936176,bursting,108,17.0,0.2634154608817235,0.4237018833548715,26.950249807127747,bursting,115,12.0,0.3397027600849256,0.6244536030972897,27.183758326493077,,,,,
31.54153977737184,bursting,109,17.5,0.2640743871513101,0.422654268808115,27.705397547240697,bursting,113,17.5,0.2741556059134561,0.4316391496708752,27.396207560039045,bursting,105,17.0,0.25631768953068584,0.43758888524231476,27.65101637943907,bursting,116,14.5,0.21490779934802706,0.4865469761105435,27.661560932476505,,,,,
35.31943521850376,bursting,109,17.0,0.2509378638264843,0.43120175930317783,27.793418550308637,bursting,112,17.0,0.2537441900499225,0.43036667240488896,27.550561122770176,bursting,109,17.0,0.24945375091041527,0.4284306584979222,27.802968564245873,bursting,112,16.0,0.22975500912799476,0.4507651738826658,27.60709462180247,"[-52.         -52.00000026 -52.00000129 ... -56.59781775 -56.59779981
 -56.59778158]","[-51.89984756 -51.89969489 -51.89954245 ... -63.74519708 -63.68229478
 -63.61969921]","[-51.79939024 -51.79877697 -51.79816057 ... -54.32492691 -54.30322244
 -54.28157026]","[-51.69862805 -51.69724371 -51.69584717 ... -55.59827282 -55.59832969
 -55.59838632]","[0.000000e+00 5.000000e-05 1.000000e-04 ... 1.499985e+01 1.499990e+01
 1.499995e+01]"
