g_s,tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
0.3,3.0,bursting,bursting,95,93,6.333333333333333,6.2,0.25470974614432734,0.25233224466087467,1.532328937486427,1.486478048562379,32.73114131628239,32.471145401785975
0.3,3.3333333333333335,bursting,bursting,97,95,7.461538461538462,7.3076923076923075,0.2893653347666972,0.2957092518344396,1.2982919109583033,1.3511991803683765,29.51367440859545,29.582875938659903
0.3,3.6666666666666665,bursting,bursting,97,97,8.083333333333334,8.083333333333334,0.32688128550796197,0.3210641522827759,1.2361128003291741,1.1822650337774172,27.353541402949624,27.399438599426745
0.3,4.0,bursting,bursting,97,99,8.818181818181818,9.0,0.35047184135910137,0.35043254032063686,1.1415553103293754,1.0864636771459117,25.72928122902579,25.698829015445178
0.3,4.333333333333333,bursting,bursting,98,98,7.0,7.538461538461538,0.3568930445192662,0.3665899502988991,1.642321680362457,1.5918212884894103,23.89824643983086,23.643130372444745
0.3,4.666666666666666,bursting,bursting,97,101,10.777777777777779,11.222222222222221,0.41656146825592977,0.4149937917798923,0.8512642706989462,0.9003184480561645,22.4031568022735,22.642104542997256
0.3,5.0,bursting,bursting,100,100,5.2631578947368425,5.2631578947368425,0.4134026925306359,0.4134026925306359,1.949473084890851,1.949473084890851,20.34068227386565,20.34068227386565
0.3,5.333333333333333,bursting,bursting,98,103,12.25,14.714285714285714,0.47459213814683265,0.4808058365130763,0.7475782412730098,0.6960274185259617,20.29353354874268,20.126802055833735
0.3,5.666666666666666,bursting,bursting,102,100,14.571428571428571,14.285714285714286,0.4950198746103464,0.49691126986047157,0.7095754836451501,0.6614966027010393,19.4518299257496,19.29031652135971
0.3,6.0,bursting,bursting,102,101,14.571428571428571,14.428571428571429,0.5151770215179033,0.5316509286747658,0.6943261088872293,0.6581707059111154,18.75989049455053,18.383849887457547
0.34444444444444444,3.0,bursting,bursting,95,91,7.3076923076923075,7.583333333333333,0.2496616890451917,0.24678987872164357,1.3092301606538201,1.249862038928036,33.76372995401652,33.48735321190134
0.34444444444444444,3.3333333333333335,bursting,bursting,94,94,7.230769230769231,7.230769230769231,0.28055506344486963,0.2733871127143381,1.4920864563416696,1.398591218206997,30.398761728078245,30.788711609804214
0.34444444444444444,3.6666666666666665,bursting,bursting,96,94,9.6,8.545454545454545,0.3113017279992586,0.31453653861601866,1.0100106051999447,1.0683903321579902,28.19170648418984,28.46640295701698
0.34444444444444444,4.0,bursting,bursting,98,95,9.8,10.555555555555555,0.3425756393553662,0.3430381555663407,0.9866544708768511,0.9273697754850603,26.52181630328678,26.13649725963528
0.34444444444444444,4.333333333333333,bursting,bursting,98,94,10.88888888888889,10.444444444444445,0.366735499327574,0.36888207269116224,0.9094129138612799,0.8535053303358628,24.82524578115733,24.486195753312778
0.34444444444444444,4.666666666666666,bursting,bursting,99,97,12.375,12.125,0.39675639751320835,0.3996320615214696,0.7677288554605797,0.8256007453097662,23.29470069624195,23.340126197919894
0.34444444444444444,5.0,bursting,bursting,96,99,12.0,14.142857142857142,0.41654353090129465,0.4193101772785233,0.7548518907275586,0.6993226356186498,22.307371491448997,22.021515038714778
0.34444444444444444,5.333333333333333,bursting,bursting,96,101,12.0,12.625,0.4655343676466421,0.44724968313245844,0.8302322497488548,0.9170756316630557,20.449361606764196,20.679821425464354
0.34444444444444444,5.666666666666666,bursting,bursting,99,100,16.5,16.666666666666668,0.49378691503139205,0.48885623458755345,0.5468159452134745,0.6081264699325142,19.60910905824434,19.635495065484466
0.34444444444444444,6.0,bursting,bursting,96,103,19.2,17.166666666666668,0.513837388928152,0.5036935860767635,0.5243388161101505,0.5820273690253658,18.794672590112295,19.036367775971343
0.38888888888888884,3.0,bursting,bursting,89,93,8.090909090909092,7.75,0.23984313665801155,0.2384048490295947,1.148396215982789,1.240608020009057,34.81420180177083,34.8207094371542
0.38888888888888884,3.3333333333333335,bursting,bursting,91,94,9.1,9.4,0.26689497073103935,0.26795569605255837,1.0428090538815697,0.9736259992479435,32.00607603052938,31.730800801906092
0.38888888888888884,3.6666666666666665,bursting,bursting,95,90,10.555555555555555,10.0,0.2955878195304852,0.2988403517600288,0.8916045351123154,0.9623532833793013,29.191623726106922,29.410431600563
0.38888888888888884,4.0,bursting,bursting,93,94,11.625,10.444444444444445,0.32003582510387324,0.32370805447903106,0.8093064629520821,0.8747664710559531,27.199818842511263,27.50178212541163
0.38888888888888884,4.333333333333333,bursting,bursting,92,96,11.5,12.0,0.35050455108504724,0.351474836657834,0.746806077443465,0.8062953409513195,25.352485042431642,25.57770770018233
0.38888888888888884,4.666666666666666,bursting,bursting,91,98,13.0,14.0,0.37460042955087,0.37722055108693914,0.7466281955851005,0.6824336107891883,24.098331493408573,23.811095542818613
0.38888888888888884,5.0,bursting,bursting,95,96,15.833333333333334,13.714285714285714,0.41181772790121185,0.40407634130411685,0.6022449126525103,0.6696108330308258,22.36978475835608,22.7148183145211
0.38888888888888884,5.333333333333333,bursting,bursting,95,95,15.833333333333334,15.833333333333334,0.43239878306852547,0.42045118897218964,0.5450323633786455,0.6115177700512173,21.33593354687447,21.500944992268764
0.38888888888888884,5.666666666666666,bursting,bursting,97,95,16.166666666666668,15.833333333333334,0.4622863769199343,0.4793049676343838,0.6608261630068307,0.5621502045479033,20.00380838690101,19.96367305021298
