tau_i,Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
39.00462398585954,-105.14582794454225,bursting,bursting,73,83,16.0,16.0,0.26859898651129765,0.2721123958721867,0.48960806874097285,0.4973268680840483,27.648931085877717,27.61753077835631,[-52.       -52.       -52.       ... -53.27117  -53.270123 -53.26907 ],[-52.       -52.       -52.       ... -55.53289  -55.532745 -55.532597],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
39.00462398585954,-101.4811769100413,bursting,bursting,75,83,16.0,16.0,0.2752543559233058,0.2737002307427955,0.49996250281228893,0.4909421179242967,27.53680771188821,27.432035517659838,,,
39.00462398585954,-100.19958492603132,bursting,bursting,76,83,16.0,16.0,0.27658346920857874,0.2769223102606268,0.5016932145992726,0.4983305925150744,27.500538196035873,27.401405416558465,,,
39.00462398585954,-98.2750705740145,bursting,bursting,75,83,16.0,16.0,0.27390644061045116,0.2730440369693073,0.49792117907735206,0.4942420797706717,27.55947535262788,27.47896600209242,,,
39.00462398585954,-94.1611661339811,bursting,bursting,80,83,16.0,16.0,0.2796461066706881,0.2812278391247087,0.5026893882270146,0.5065342923715934,27.370330588597387,27.303109748518192,,,
39.00462398585954,-93.84527381702881,bursting,bursting,79,83,16.0,16.0,0.28016915873735077,0.2784148058740697,0.503448623068016,0.5029169181251256,27.347036388173063,27.418016924513154,,,
39.00462398585954,-93.13852565023593,bursting,bursting,81,83,16.0,16.0,0.2845860914458045,0.2829324456236077,0.5111559792470672,0.5005881911245713,27.271468591416735,27.227093655768915,,,
39.00462398585954,-93.01396526987197,bursting,bursting,81,82,16.0,15.5,0.28142250260741286,0.2876166134185305,0.5087634504337207,0.511182108626198,27.39123708813822,27.440235009787465,,,
39.00462398585954,-92.78411885748214,bursting,bursting,81,83,16.0,16.0,0.2810607012693228,0.285545707901278,0.5027020233756442,0.5021466770443648,27.321921146443515,27.156028232524548,,,
39.00462398585954,-91.72173892393454,bursting,bursting,84,81,15.5,15.0,0.28696570736608856,0.26835128855090856,0.5152912683894572,0.5280946345585128,27.54553604889137,27.76367367785318,,,
39.00462398585954,-88.71816837536491,bursting,bursting,85,81,15.5,15.0,0.2936411609498679,0.2703796389968583,0.5277044854881265,0.5324530110217773,27.467068082223754,27.757852408925494,,,
39.00462398585954,-88.57314278030957,bursting,bursting,87,80,15.0,15.0,0.26971031409168084,0.27548678063139687,0.530560271646859,0.5401172054335791,27.769005211202018,27.64431677202694,,,
39.00462398585954,-88.53522241405496,bursting,bursting,85,81,15.5,15.5,0.268829419068502,0.2659000234686694,0.5283597072887222,0.5215259850322044,27.447418007256605,27.448055083821295,,,
39.00462398585954,-85.52555330351612,bursting,bursting,84,79,15.5,15.0,0.2923604565923133,0.27075361394557823,0.5236150382238979,0.5314625850340134,27.459873256855605,27.70815074095242,,,
39.00462398585954,-84.7239990177665,bursting,bursting,87,80,15.0,15.0,0.2721241305510968,0.27651361783680184,0.5350454788657035,0.5398547790644316,27.734802107948717,27.592854130308904,,,
39.00462398585954,-84.36968645429397,bursting,bursting,88,80,15.0,15.0,0.273883988238439,0.273755716616298,0.5346164127238705,0.5348880746703751,27.637465191333984,27.637906320558237,,,
39.00462398585954,-83.78563181339008,bursting,bursting,87,80,15.0,15.0,0.27682137075013497,0.27311362360676783,0.5396654074473827,0.5345735439553095,27.5826079365363,27.662226538997942,,,
