g_syn_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
26.058776622630926,-22.914311639711332,bursting,bursting,75,82,16.0,16.0,0.2773222341300502,0.2694364459070341,0.498467213319044,0.4839451206233211,27.34513272838977,27.418784272991346,[-52.      -52.      -52.      ... -53.63521 -53.63463 -53.63405],[-52.       -52.       -52.       ... -55.61857  -55.618423 -55.618275],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
26.058776622630926,-21.731662231386487,bursting,bursting,76,82,16.0,16.0,0.2785301259105362,0.2745199536591978,0.5006383138501589,0.4929872562794251,27.321060488018194,27.345757562299077,,,
26.058776622630926,-21.331019414577387,bursting,bursting,76,82,16.0,16.0,0.2751992498827941,0.2778728114308712,0.49349816171934763,0.503119339907426,27.343125357454255,27.337078546726485,,,
26.058776622630926,-21.277755696486683,bursting,bursting,76,82,16.0,16.0,0.2754841246436647,0.27408834865105264,0.49149710016710896,0.49411997232928145,27.323413647743696,27.372659553181958,,,
26.058776622630926,-20.94074530858559,bursting,bursting,77,82,16.0,16.0,0.27991709119968033,0.2754465727559565,0.4994506043352313,0.4968820650418623,27.256311467166483,27.356625227678855,,,
26.058776622630926,-20.639342432714603,bursting,bursting,78,82,16.0,16.0,0.2774811908722965,0.2783860806959652,0.49661063243364034,0.49997500124993755,27.30644069014186,27.278084057703698,,,
26.058776622630926,-20.55028450245337,bursting,bursting,76,82,16.0,16.0,0.2768280632411066,0.2782766166151062,0.49407114624505927,0.5030307603309944,27.29589455332334,27.300939128502907,,,
26.058776622630926,-19.864841861022217,bursting,bursting,77,82,16.0,16.0,0.2741975308641978,0.2796792390781919,0.4938271604938272,0.5059320533252383,27.38820644196559,27.263104188941416,,,
26.058776622630926,-19.766628381718544,bursting,bursting,76,82,16.0,16.0,0.27955701885662954,0.27676697854691795,0.49885263893045995,0.4937418224010666,27.24746562057889,27.265209287878065,,,
26.058776622630926,-19.562622806541974,bursting,bursting,81,81,15.5,15.5,0.2924460246302881,0.28907037448634104,0.5152779924769413,0.5168893598325279,27.328968841094245,27.41881482075558,,,
26.058776622630926,-19.552808902450636,bursting,bursting,80,81,15.5,15.5,0.2869294819078945,0.28487525854804496,0.5139802631578947,0.5107121881463701,27.474786777807,27.485178593873993,,,
26.058776622630926,-19.53567735386656,bursting,bursting,80,81,16.0,16.0,0.2829111399222102,0.2811411259782883,0.49865363518500055,0.5049229992426154,27.15903092326473,27.158719337406076,,,
26.058776622630926,-19.421761202620033,bursting,bursting,82,77,16.0,15.5,0.2786356821589205,0.25815395473105796,0.4997501249375311,0.5041084841457881,27.29037405831215,27.490350667925544,,,
26.058776622630926,-18.91369146338961,bursting,bursting,82,80,15.5,15.5,0.26675234073802095,0.26393502179779926,0.5245351307403814,0.5189952252439277,27.357470773557512,27.415135611226255,,,
26.058776622630926,-18.73742354832292,bursting,bursting,80,81,15.5,15.5,0.2659760914489,0.2596065873741997,0.5231630437625885,0.5082850462539391,27.451662260530853,27.479645128347666,,,
