g_us,delta_Vus,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.011998941887692096,1.4785931153791976,bursting,bursting,94,108,26.0,26.0,0.3414422881996278,0.3407638031723808,0.368588857558836,0.3684530498701203,27.38849588861704,27.385888233711395,[-52.       -52.       -52.       ... -55.650078 -55.649944 -55.64981 ],[-52.       -52.       -52.       ... -58.777714 -58.740562 -58.703598],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
0.011998941887692096,1.542285219557248,bursting,bursting,93,97,23.5,23.0,0.3421594704317739,0.3249793667089397,0.3999760014399137,0.40260080117559427,27.397765145708977,27.52981970409784,,,
0.011998941887692096,1.5583544283790378,bursting,bursting,92,95,23.0,23.0,0.3228447934015385,0.3234071333373118,0.39654215243080343,0.3978436872152932,27.42192450969942,27.408521243565723,,,
0.011998941887692096,1.5936901249541873,bursting,bursting,96,91,22.0,22.0,0.32337875111470593,0.31859793311091233,0.41477425910947974,0.40686793066970467,27.30694046078737,27.289435885872937,,,
0.011998941887692096,1.5969719024791456,bursting,bursting,97,90,22.0,21.5,0.3186851140773247,0.3236608534785588,0.4063306312346356,0.4157226298613565,27.298793597899767,27.47640303531358,,,
0.011998941887692096,1.6137514660625363,bursting,bursting,98,87,21.0,21.0,0.308779371312181,0.3100135432537667,0.4199651428931399,0.42322668020992044,27.53966864747465,27.532114142587737,,,
0.011998941887692096,1.6709218521916696,bursting,bursting,82,92,19.5,19.0,0.29485337045852616,0.2954601612866993,0.44909507342704447,0.4492665723206866,27.411014375153847,27.641911909186533,,,
0.011998941887692096,1.6783633053757196,bursting,bursting,89,83,19.0,19.0,0.3028812854966061,0.29924832396559914,0.46174447060996443,0.4514570777183358,27.595671039533265,27.506598471114966,,,
0.011998941887692096,1.6811163295534266,bursting,bursting,89,84,19.0,19.0,0.29506059039097116,0.29731606774800606,0.4496503968164753,0.44806882337126985,27.65887151647956,27.49906327019114,,,
0.011998941887692096,1.733982549694455,bursting,bursting,86,83,18.0,18.0,0.28386153986665447,0.28618065613720517,0.45666270892318933,0.4598018254132469,27.617872696010053,27.569543223426567,,,
0.011998941887692096,1.7361060220371463,bursting,bursting,83,85,18.0,18.0,0.28800389664610093,0.28621899967671904,0.4638864405993412,0.46182976954694493,27.58164056533771,27.595839040817197,,,
0.011998941887692096,1.7552047982259293,bursting,bursting,83,86,18.0,18.0,0.2851311821129728,0.2869061730646487,0.4535250232431574,0.455913194127838,27.413611405492738,27.36239536145646,,,
0.011998941887692096,1.7654340804609419,bursting,bursting,80,89,17.0,17.0,0.280386440841304,0.2791145560892101,0.4818464355409932,0.4755337866755433,27.69368302355112,27.593497024141335,,,
0.011998941887692096,1.7975167445108235,bursting,bursting,79,87,17.0,17.0,0.2829758648817237,0.28291283032404635,0.47982342497960745,0.4782972617481765,27.37752027262681,27.367346119257256,,,
0.011998941887692096,1.7988119665809426,bursting,bursting,86,80,16.0,17.0,0.2569573975975527,0.2726913051573263,0.49740107936034206,0.4654626698938746,27.364683531100166,27.548015412841632,,,
0.011998941887692096,1.8192632008531078,bursting,bursting,77,84,16.0,16.0,0.27103963467599834,0.2677428808674842,0.49636413272776897,0.4884482000683826,27.688464665352264,27.654780147042448,,,
0.011998941887692096,1.8305568503647924,bursting,bursting,75,84,16.0,16.0,0.26523253830974236,0.2702076815057525,0.4872463273808074,0.4927200610972875,27.73810301591103,27.58767292960309,,,
0.011998941887692096,1.8810892612229606,bursting,bursting,75,79,15.0,15.0,0.25646258503401376,0.25997600142970206,0.5039052658100276,0.510607878679568,27.750783181033672,27.683817210064227,,,
0.011998941887692096,1.9204089862368265,bursting,bursting,77,77,15.0,15.0,0.2692576940029557,0.26171076860984277,0.5185511680365059,0.5045026864768055,27.225742289597964,27.363401436834863,,,
0.011998941887692096,2.0177001525125693,bursting,bursting,78,69,13.5,13.5,0.23337987326817747,0.23197826202781158,0.5369992482010525,0.5327934359848686,27.491806703040268,27.469192681942058,,,
0.01296694563979591,1.4785931153791976,bursting,bursting,89,100,24.0,24.0,0.32787202726779757,0.33144136535931024,0.3873266713145867,0.3927961191743426,27.523750151340575,27.515053601866462,,,
0.01296694563979591,1.542285219557248,bursting,bursting,97,91,22.0,22.0,0.32388621844892546,0.31845759192149503,0.41617246186819806,0.4071827028787816,27.36622893226931,27.347668637581062,[-52.      -52.      -52.      ... -74.44033 -74.32518 -74.2106 ],[-52.       -52.       -52.       ... -55.701694 -55.70159  -55.70149 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
0.01296694563979591,1.5583544283790378,bursting,bursting,98,89,21.0,21.0,0.31052052940927743,0.3085613118071071,0.4228508605015012,0.4215318467310205,27.57567212109319,27.607940560885208,,,
0.01296694563979591,1.5936901249541873,bursting,bursting,94,84,20.0,20.0,0.29857299670691545,0.3010368638656191,0.43046856503303843,0.43292854514362406,27.678731605237502,27.61495873613736,,,
0.01296694563979591,1.5969719024791456,bursting,bursting,93,83,20.0,20.0,0.3102571536900331,0.30547122420006556,0.44606017351740745,0.43682428743038115,27.52145206766712,27.51870612669333,,,
0.01296694563979591,1.6137514660625363,bursting,bursting,93,83,20.0,20.0,0.3052880444213082,0.3064712269272531,0.4338018393197989,0.4343105320304017,27.401718680920727,27.329489816086937,,,
