g_syn_i,Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
26.058776622630926,-105.14582794454225,bursting,bursting,82,75,16.0,16.0,0.2589138134592678,0.2650772732718342,0.47225501770956324,0.4792140888942135,27.706149404625947,27.545496975832744,[-52.       -52.       -52.       ... -55.973793 -55.973885 -55.973976],[-52.       -52.       -52.       ... -54.94683  -54.946583 -54.946335],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
26.058776622630926,-101.4811769100413,bursting,bursting,74,82,16.0,16.0,0.262607905497501,0.2601730366989922,0.4782515124704082,0.47537554668187887,27.65126454508606,27.6858637182359,,,
26.058776622630926,-100.19958492603132,bursting,bursting,75,82,16.0,16.0,0.26399673069064167,0.264153216092508,0.48078078799971147,0.48181161165984104,27.63323650002493,27.62321416824531,,,
26.058776622630926,-98.2750705740145,bursting,bursting,75,82,16.0,16.0,0.27442699071329785,0.27180532364207827,0.4939735230191662,0.4911108928396032,27.406177073413954,27.42923895596321,,,
26.058776622630926,-94.1611661339811,bursting,bursting,83,76,16.0,16.0,0.276168491076526,0.2721127038563076,0.49643805694144505,0.4934494584392195,27.345119651060813,27.46697689981009,,,
26.058776622630926,-93.84527381702881,bursting,bursting,75,82,16.0,16.0,0.2738775108310357,0.2749787786488241,0.49231981094919247,0.49932591002147103,27.386174559128655,27.42504871792658,,,
26.058776622630926,-93.13852565023593,bursting,bursting,76,82,16.0,16.0,0.27348529701993307,0.2760501505503729,0.49338859285573305,0.4936077792586011,27.423046114925267,27.29160336665728,,,
26.058776622630926,-93.01396526987197,bursting,bursting,83,76,16.0,16.0,0.2769089236430543,0.2774575129145764,0.49727740620104943,0.4991140725212748,27.34036928117682,27.31331662931925,,,
26.058776622630926,-92.78411885748214,bursting,bursting,75,82,16.0,16.0,0.27685561391338837,0.2711235137102645,0.4954910316123279,0.48531909730647893,27.329015093289343,27.364985153383692,,,
26.058776622630926,-91.72173892393454,bursting,bursting,75,82,16.0,16.0,0.2772531333316722,0.2704347402755465,0.4983430094934342,0.48683121561754517,27.33852621347114,27.420514981777163,,,
26.058776622630926,-88.71816837536491,bursting,bursting,80,81,16.0,16.0,0.2853091748644852,0.2752483948929524,0.5019072475406545,0.48824548983228755,27.10974719812684,27.26844555012462,,,
26.058776622630926,-88.57314278030957,bursting,bursting,80,81,16.0,16.0,0.28195234396532287,0.27842221615042606,0.501114980832352,0.4967833279515137,27.191149795790043,27.228929485985454,,,
26.058776622630926,-88.53522241405496,bursting,bursting,80,81,15.0,15.5,0.2695686689600421,0.2640379530253537,0.5292405398253507,0.518483952921657,27.71087094327921,27.44036524240211,,,
26.058776622630926,-85.52555330351612,bursting,bursting,84,75,14.5,15.5,0.26225008745257367,0.27827110576553954,0.5381696849016494,0.5118100161220155,27.337575098175986,27.784492741250812,,,
26.058776622630926,-84.7239990177665,bursting,bursting,85,79,15.0,15.0,0.26921659471412007,0.2678350894710568,0.5264820469621985,0.5255274982263445,27.663798111981063,27.70243179238838,,,
26.058776622630926,-84.36968645429397,bursting,bursting,83,80,15.0,15.5,0.26904499396230364,0.26317145433466427,0.5250170630545491,0.5152647172484863,27.642490544783946,27.412640198979464,,,
26.058776622630926,-83.78563181339008,bursting,bursting,83,80,15.0,15.5,0.2688847974750132,0.2640362225097025,0.5260389268805891,0.517464424320828,27.67260494369661,27.399947516691448,,,
26.058776622630926,-83.5989607818643,bursting,bursting,80,83,15.0,15.0,0.26882146346615987,0.27107952730756973,0.5281364704639679,0.5323112956456935,27.719419357266787,27.67275502569459,,,
26.058776622630926,-82.85987488320067,bursting,bursting,86,79,15.0,15.0,0.27069738186964376,0.2708686890114551,0.5241502214534686,0.5303351718285956,27.545223456089328,27.638745054915923,,,
26.058776622630926,-82.27821706868562,bursting,bursting,85,79,15.0,15.0,0.2723261747820539,0.26997623448640107,0.531575590048905,0.5281225244256667,27.60962183744794,27.631773706662184,,,
26.51607007797135,-105.14582794454225,bursting,bursting,75,82,16.0,16.0,0.2584285546000706,0.2604963433641048,0.47119802096831187,0.47955880589857325,27.711913534998523,27.76583158008,,,
26.51607007797135,-101.4811769100413,bursting,bursting,75,82,16.0,16.0,0.2670040436814451,0.2614822546972863,0.4842732269546477,0.4744733345985954,27.570918241987965,27.61130867620064,[-52.       -52.       -52.       ... -54.746758 -54.746494 -54.74623 ],[-52.       -52.       -52.       ... -55.996433 -55.996372 -55.996307],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
26.51607007797135,-100.19958492603132,bursting,bursting,74,83,16.0,16.0,0.26597050119102056,0.2666715112758277,0.4812203748706721,0.48446091611559244,27.54991018225952,27.56339802885913,,,
26.51607007797135,-98.2750705740145,bursting,bursting,75,82,16.0,16.0,0.27048614535055693,0.2621541831341366,0.49304802287742827,0.47616780153326027,27.56817782807247,27.60020870154939,,,
26.51607007797135,-94.1611661339811,bursting,bursting,75,82,16.0,16.0,0.2732680629569962,0.2756829310730534,0.4957243772462511,0.49712907956550906,27.48375833878928,27.347963268271034,,,
26.51607007797135,-93.84527381702881,bursting,bursting,75,82,16.0,16.0,0.2737732907727709,0.2721718565234531,0.49489025808526965,0.49270792274339764,27.434601210672067,27.449253136864055,,,
