g_us,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.011998941887692096,222.4276428040119,bursting,bursting,103,101,29.5,19.5,0.395848899958489,0.35792945682821736,0.33208800332088,0.35466652480005656,26.508033315536064,27.952619631828703,[-52.       -52.       -52.       ... -56.06185  -56.06173  -56.061607],[-52.       -52.       -52.       ... -52.297424 -52.275406 -52.253204],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
0.011998941887692096,229.84333871756644,bursting,bursting,110,93,25.5,26.0,0.3500670091579184,0.3456796989414754,0.37227309954582677,0.37076172997423196,27.293823179769923,27.188003830556976,,,
0.011998941887692096,239.4430625760652,bursting,bursting,91,99,24.0,24.0,0.3335604173154782,0.33820315422630903,0.38928682653379004,0.39378605603575584,27.29547153577502,27.185504457458865,,,
0.011998941887692096,239.75321609472297,bursting,bursting,97,97,23.5,23.0,0.3515212523368325,0.331876564487669,0.4108716642356759,0.41035742131396435,27.368011848471866,27.491220055213272,,,
0.011998941887692096,242.905360868945,bursting,bursting,97,95,23.0,23.0,0.3318547892563672,0.3332513325133252,0.4088140304975266,0.4100041000410004,27.41243193189399,27.36302894956325,,,
0.011998941887692096,248.52611952212527,bursting,bursting,92,100,22.0,22.0,0.32403312021800657,0.3238248041340224,0.4192432659050415,0.41673612268711463,27.49463706450609,27.406434302909865,,,
0.011998941887692096,251.5392757474052,bursting,bursting,99,91,22.0,22.0,0.3258043582926881,0.3295040922384229,0.4186640430386637,0.42079572471543686,27.328609906642836,27.20499818961263,,,
0.011998941887692096,265.75975919329136,bursting,bursting,93,83,20.0,20.0,0.30520019211457006,0.3130339245274558,0.43662402305374837,0.4484405479943495,27.51189758259468,27.406792112044148,,,
0.011998941887692096,267.0527705729015,bursting,bursting,92,83,20.0,20.0,0.30769399242208567,0.30618161210166095,0.4380297422194966,0.4359387941932953,27.41397543591134,27.407435590608383,,,
0.011998941887692096,272.0888587176768,bursting,bursting,90,82,19.5,19.0,0.3136663732394366,0.2941662756663761,0.4401408450704225,0.44685747480840987,27.41255729432892,27.62945174661511,,,
0.011998941887692096,276.7664232955933,bursting,bursting,89,82,19.0,19.0,0.2946124574404166,0.29395311667554624,0.44506753899904306,0.4439708755105664,27.52222813807317,27.493321126000243,,,
0.011998941887692096,277.0701222107906,bursting,bursting,89,83,19.0,19.0,0.2962623917120657,0.2981976691661396,0.4465481825488969,0.4517119884361731,27.46689244480173,27.474857861122,,,
0.011998941887692096,277.35236514704883,bursting,bursting,89,84,19.0,19.0,0.2963326492370841,0.2999546588075266,0.4461497278486661,0.45341192473362035,27.4555801412456,27.42074018967469,,,
0.011998941887692096,277.58123881365174,bursting,bursting,90,81,19.0,19.0,0.29670476572421617,0.2953477495935683,0.44560301227636295,0.44540453867224894,27.427922960363425,27.445761008586842,,,
0.011998941887692096,283.68812673413186,bursting,bursting,85,84,18.0,18.0,0.28167956304050984,0.2822439268720258,0.4551661356395084,0.45534230357671374,27.7176204675744,27.68378109769767,,,
0.011998941887692096,284.15742437309285,bursting,bursting,85,84,18.0,18.0,0.28333978460347475,0.2811942858432444,0.4553837746761083,0.45135519396989454,27.640340840602153,27.635957388923654,,,
0.011998941887692096,284.39123643116164,bursting,bursting,85,86,18.0,18.0,0.2831652443754852,0.28485654047117065,0.4563501118057774,0.45833715280960674,27.670128245893302,27.615854956876518,,,
