g_syn_i,tau_i,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
26.058776622630926,39.00462398585954,bursting,bursting,87,79,15.0,15.0,0.27669457196867414,0.27410704708784717,0.5401026194977046,0.5363080553469912,27.613758998967118,27.641993824518345,[-52.       -52.       -52.       ... -53.22135  -53.20955  -53.197784],[-52.       -52.       -52.       ... -55.506832 -55.506687 -55.506542],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
26.058776622630926,44.17062526144672,bursting,bursting,83,80,15.5,15.5,0.2684375907686621,0.2643746911814424,0.5281085791238678,0.5201154656333706,27.381044664556303,27.48499187254648,,,
26.058776622630926,44.21787801655311,bursting,bursting,84,80,15.0,15.5,0.2682894667440267,0.2671691572340259,0.5274539796402763,0.5252514641384562,27.745546470039557,27.39318752873934,,,
26.058776622630926,44.39297493308039,bursting,bursting,85,80,15.5,15.5,0.28908265400887423,0.29322113380575254,0.5159426271798574,0.5210504376823677,27.451036152076508,27.360573492958956,,,
26.058776622630926,44.41090652794522,bursting,bursting,83,80,15.0,15.0,0.26970371548205846,0.26710839902574446,0.5300259712725923,0.5237933111594166,27.73766449100941,27.715512951978514,,,
26.058776622630926,44.6851439225174,bursting,bursting,86,80,15.0,15.0,0.2721263214237925,0.27292401410708556,0.5352602703064364,0.5343593031954688,27.726477368479696,27.64027566871777,,,
26.058776622630926,45.787885714675056,bursting,bursting,83,80,16.0,15.5,0.2807894142164864,0.2851340996168585,0.5021718934391242,0.5108556832694765,27.268159342743807,27.486959089893084,,,
26.058776622630926,46.300099423249314,bursting,bursting,84,79,15.0,15.0,0.27081171681698457,0.2728980490030324,0.5320988639689254,0.5367254381021388,27.713711155103844,27.681933417959378,,,
26.058776622630926,47.39163038187516,bursting,bursting,82,81,15.5,16.0,0.2597505292962273,0.2817798735828233,0.510165038389919,0.5016554630279924,27.554193429182366,27.17958841888548,,,
26.058776622630926,48.70189663111327,bursting,bursting,79,82,16.0,16.0,0.28071539657853806,0.27831331257106123,0.5016806301108715,0.49433980918483367,27.255486909059016,27.223608763143083,,,
26.058776622630926,49.856902694344555,bursting,bursting,79,81,16.0,16.0,0.2785134027277468,0.27930792728729503,0.4968573770899063,0.500776203114828,27.280067238109726,27.242010276607132,,,
26.058776622630926,50.00928939680185,bursting,bursting,79,82,16.0,16.0,0.2821089897585032,0.28151114206128136,0.5057529396889621,0.4974134500596897,27.237025625339342,27.1567773804432,,,
26.058776622630926,50.07933725696112,bursting,bursting,77,82,16.0,16.0,0.2750842496248738,0.27595832710233803,0.49196861240252865,0.4984796371068242,27.33397185533276,27.353628035321595,,,
26.058776622630926,51.02375430003072,bursting,bursting,76,82,16.0,16.0,0.2798588490770904,0.27357139329283375,0.49353469548909296,0.49390033091322166,27.20097645997824,27.391417358740355,,,
26.058776622630926,52.305808116447096,bursting,bursting,78,81,16.0,16.0,0.2797405189620761,0.2774084730628041,0.499001996007984,0.49608096041273925,27.240457775429533,27.241682056482304,,,
26.058776622630926,52.53984467836355,bursting,bursting,79,81,15.5,15.5,0.2644664638110844,0.2600893426930441,0.5201425190502198,0.5105296745373324,27.4782077903274,27.488217672384824,,,
26.058776622630926,52.8462555449608,bursting,bursting,75,82,16.0,16.0,0.2750309023485784,0.2718282623063178,0.49443757725587134,0.4895601302229946,27.359174857700463,27.378104622629543,,,
26.058776622630926,53.201081461658184,bursting,bursting,76,82,16.0,16.0,0.27909711969169926,0.2766864436356383,0.5004879757763819,0.4985790497083312,27.268992166030266,27.303929835888347,,,
26.058776622630926,54.28223164775316,bursting,bursting,76,82,16.0,16.0,0.2722037055190666,0.27376435285073025,0.49014802470346036,0.4959948416536469,27.404701627989926,27.386185384057345,,,
26.058776622630926,57.28937686253878,bursting,bursting,75,82,16.0,16.0,0.27632876442165455,0.27464178772055725,0.49304802287742816,0.49493924620752794,27.272786890985593,27.31153785363515,,,
26.51607007797135,39.00462398585954,bursting,bursting,84,81,15.5,15.5,0.2692165068602004,0.265448669498814,0.5297451925623773,0.521254137454716,27.417688657174697,27.42449166364908,,,
