Vi_threshold,Vi0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-22.914311639711332,-105.14582794454225,bursting,bursting,75,79,16.5,16.0,0.26886468677069525,0.25133888206245825,0.4576030750926647,0.4636820995525468,27.727974768012555,27.888822832472094,[-52.       -52.       -52.       ... -56.726818 -56.72681  -56.726803],[-52.      -52.      -52.      ... -69.39944 -69.30906 -69.21913],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-22.914311639711332,-101.4811769100413,bursting,bursting,74,83,16.0,16.0,0.2550989202286576,0.2541298725506186,0.47048860241360657,0.46599408187516017,27.87807523786419,27.796498961152448,,,
-22.914311639711332,-100.19958492603132,bursting,bursting,75,82,16.0,16.0,0.2551362241431819,0.2552416321925537,0.468526717736079,0.4701015419330575,27.824500686048058,27.829207020430843,,,
-22.914311639711332,-98.2750705740145,bursting,bursting,74,83,16.0,16.0,0.25825918946640253,0.2558833123631111,0.47706509553228543,0.4660049396523603,27.855843217753627,27.71175223858552,,,
-22.914311639711332,-94.1611661339811,bursting,bursting,74,82,16.0,16.0,0.2617674507645556,0.25845798140895565,0.47859484553351356,0.47185391402821686,27.70520144210279,27.692430819156396,,,
-22.914311639711332,-93.84527381702881,bursting,bursting,74,82,16.0,16.0,0.2632187786185955,0.2638097299377148,0.48199739721405505,0.48096577928480383,27.70736942036118,27.620389396863825,,,
-22.914311639711332,-93.13852565023593,bursting,bursting,75,83,16.0,16.0,0.26115916333229544,0.26438749186295996,0.4791911253803579,0.4821949514188588,27.743627913668767,27.607778931135165,,,
-22.914311639711332,-93.01396526987197,bursting,bursting,75,82,16.0,16.0,0.2669226842962347,0.2642386018968754,0.48610942323116935,0.48144046988589867,27.606880964435074,27.615908630300364,,,
-22.914311639711332,-92.78411885748214,bursting,bursting,75,83,16.0,16.0,0.2590664955558723,0.2596919431279621,0.47530776177574974,0.4739336492890995,27.76294238740165,27.68423008448401,,,
-22.914311639711332,-91.72173892393454,bursting,bursting,75,83,16.0,16.0,0.26424544508698505,0.26674406791959954,0.48392170146870245,0.4837578308298866,27.68724242129127,27.54817351843775,,,
-22.914311639711332,-88.71816837536491,bursting,bursting,75,82,16.0,16.0,0.26892614188532565,0.2697153523098461,0.4859086491739552,0.4911953238205172,27.502815125466004,27.52329438282864,,,
-22.914311639711332,-88.57314278030957,bursting,bursting,75,82,16.0,16.0,0.2654503218312925,0.26765899203206733,0.4839568310506703,0.4888302292613775,27.6224982031522,27.588221031592386,,,
-22.914311639711332,-88.53522241405496,bursting,bursting,75,82,16.0,16.0,0.2649774016732377,0.2692544064505027,0.48081546302529077,0.4916541704565009,27.580546784357466,27.567853248298626,,,
-22.914311639711332,-85.52555330351612,bursting,bursting,75,82,16.0,16.0,0.2707267144319345,0.270855931367715,0.48740069210898285,0.49304802287742827,27.440197551422376,27.500256442572216,,,
-22.914311639711332,-84.7239990177665,bursting,bursting,75,82,16.0,16.0,0.2739427552738439,0.2722451384796701,0.4951965930474398,0.49106265959536427,27.434989597925675,27.40949710285423,,,
-22.914311639711332,-84.36968645429397,bursting,bursting,75,82,16.0,16.0,0.27252003823810583,0.2714915503306395,0.4902321249111453,0.48983590497183443,27.41647113672731,27.40842117846364,,,
-22.914311639711332,-83.78563181339008,bursting,bursting,76,82,16.0,16.0,0.27426097711812014,0.2772200385549408,0.494743351886209,0.5007135167613849,27.40567287775859,27.34051387530002,,,
-22.914311639711332,-83.5989607818643,bursting,bursting,77,82,16.0,16.0,0.2817812129019222,0.2732422444811827,0.505165315349448,0.48623942429252154,27.244617027541107,27.303759324793898,,,
-22.914311639711332,-82.85987488320067,bursting,bursting,75,82,16.0,16.0,0.276880924170616,0.27164756587324934,0.4936808846761453,0.4897639337839161,27.289655350338407,27.406257760320624,,,
-22.914311639711332,-82.27821706868562,bursting,bursting,75,82,16.0,16.0,0.2765536023768259,0.2750633099955312,0.4951720722951225,0.4965489845573265,27.311454504764068,27.37204633224818,,,
-21.731662231386487,-105.14582794454225,bursting,bursting,80,75,16.5,16.5,0.2710571526743785,0.2674646649083652,0.4581376703699463,0.45084646423660424,27.64513426374271,27.631592700047268,,,
-21.731662231386487,-101.4811769100413,bursting,bursting,75,84,16.5,16.0,0.2780804694048617,0.25833550249650955,0.4656794262829468,0.47327196573510977,27.524799338767608,27.73314818269593,[-52.       -52.       -52.       ... -56.279053 -56.27891  -56.27877 ],[-52.       -52.       -52.       ... -54.604664 -54.588463 -54.572346],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-21.731662231386487,-100.19958492603132,bursting,bursting,74,83,16.0,16.0,0.25473221179718736,0.255886377577502,0.467956667212616,0.47185391402821686,27.829023325636303,27.8352004757356,,,
-21.731662231386487,-98.2750705740145,bursting,bursting,74,82,16.0,16.0,0.2584469051675184,0.2577655902794196,0.47321597577134206,0.47279088459174506,27.75900054926751,27.75601789261268,,,
-21.731662231386487,-94.1611661339811,bursting,bursting,75,83,16.0,16.0,0.25997095030597445,0.2660973361152894,0.4762244922256352,0.48522490174195737,27.738703737471432,27.593841867120073,,,
-21.731662231386487,-93.84527381702881,bursting,bursting,74,82,16.0,16.0,0.2597988042137232,0.2681325167859517,0.47451836386068136,0.49189601318281306,27.709966382502483,27.630698915918156,,,
-21.731662231386487,-93.13852565023593,bursting,bursting,75,83,16.0,16.0,0.2642903874578981,0.2626488272059697,0.4846252635149869,0.475296466170774,27.696979074875774,27.573253017383728,,,
-21.731662231386487,-93.01396526987197,bursting,bursting,83,75,16.0,16.0,0.2639838259362664,0.26313512474162404,0.48137094444979284,0.48069989905302113,27.649852056963898,27.646939856139404,,,
-21.731662231386487,-92.78411885748214,bursting,bursting,74,82,16.0,16.0,0.266773667955546,0.26515279215931825,0.48636949490527936,0.48161437137284185,27.61838336569081,27.574363908724823,,,
-21.731662231386487,-91.72173892393454,bursting,bursting,75,82,16.0,16.0,0.2687702699407446,0.2709999753882505,0.4876978224292227,0.4922349929856513,27.55191491184506,27.4746178591774,,,
-21.731662231386487,-88.71816837536491,bursting,bursting,75,82,16.0,16.0,0.27014634146341476,0.26836453945606425,0.4878048780487804,0.4869616030775972,27.48003316724377,27.51611662531527,,,
-21.731662231386487,-88.57314278030957,bursting,bursting,75,82,16.0,16.0,0.2702267346789349,0.27329762436145416,0.48812632709345183,0.49595794276645333,27.483312428021026,27.440924713620998,,,
