g_us,delta_Vus,tau_us,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B
0.007222222222222222,1.2,250.0,tonic_spiking,tonic_spiking,243,51,243.0,51.0,,,,,26.17762095576188,25.606769499518947
0.007222222222222222,1.2,266.6666666666667,tonic_spiking,tonic_spiking,58,234,58.0,234.0,,,,,24.36916814774607,25.215230578682636
0.007222222222222222,1.2,283.33333333333337,tonic_spiking,tonic_spiking,65,225,65.0,225.0,,,,,24.01011645825023,24.327596287194474
0.007222222222222222,1.2,300.0,tonic_spiking,tonic_spiking,222,37,222.0,37.0,,,,,23.895838410740783,25.131629916017648
0.007222222222222222,1.2,316.6666666666667,tonic_spiking,tonic_spiking,211,40,211.0,40.0,,,,,22.891103237742247,25.012035333360387
0.007222222222222222,1.2,333.33333333333337,tonic_spiking,tonic_spiking,201,46,201.0,46.0,,,,,21.83082930297398,23.787243884112247
0.007222222222222222,1.2,350.0,tonic_spiking,tonic_spiking,36,194,36.0,194.0,,,,,25.250276714069518,21.12195326053301
0.007222222222222222,1.3111111111111111,200.0,tonic_spiking,tonic_spiking,223,224,223.0,224.0,,,,,24.02586317749078,24.181168717477533
0.007222222222222222,1.3111111111111111,216.66666666666666,tonic_spiking,tonic_spiking,126,233,126.0,233.0,,,,,23.758957498328535,25.23204877348253
0.007222222222222222,1.3111111111111111,233.33333333333334,tonic_spiking,tonic_spiking,62,238,62.0,238.0,,,,,24.34320078276876,25.683671253825167
0.007222222222222222,1.3111111111111111,250.0,tonic_spiking,tonic_spiking,231,50,231.0,50.0,,,,,24.905655920746316,24.458793451671607
0.007222222222222222,1.3111111111111111,266.6666666666667,tonic_spiking,tonic_spiking,224,43,224.0,43.0,,,,,24.11271285051333,24.48448782894723
0.007222222222222222,1.3111111111111111,283.33333333333337,tonic_spiking,tonic_spiking,32,216,32.0,216.0,,,,,25.462198464966,23.36883710152049
0.007222222222222222,1.3111111111111111,300.0,tonic_spiking,tonic_spiking,33,205,33.0,205.0,,,,,25.91630010976463,22.24505141262069
0.007222222222222222,1.3111111111111111,316.6666666666667,bursting,bursting,129,129,25.8,25.8,0.5217755572973285,0.5217755572973285,0.5013591109682612,0.5013591109682612,24.377140179690617,24.377140179690617
0.007222222222222222,1.3111111111111111,333.33333333333337,tonic_spiking,tonic_spiking,27,186,27.0,186.0,,,,,26.115281828365177,20.34291680479079
0.007222222222222222,1.3111111111111111,350.0,bursting,bursting,87,133,29.0,44.333333333333336,0.3454839655705177,0.4951547192802498,0.4318663627758065,0.348018408873105,26.147435870757118,24.24074698910532
0.007222222222222222,1.4222222222222223,200.0,tonic_spiking,tonic_spiking,78,242,78.0,242.0,,,,,24.17105319935988,26.141564063564758
0.007222222222222222,1.4222222222222223,216.66666666666666,tonic_spiking,tonic_spiking,34,242,34.0,242.0,,,,,26.102285228649794,26.00619000982547
0.007222222222222222,1.4222222222222223,233.33333333333334,tonic_spiking,tonic_spiking,59,228,59.0,228.0,,,,,24.05052382934545,24.62787684993757
0.007222222222222222,1.4222222222222223,250.0,tonic_spiking,tonic_spiking,30,223,30.0,223.0,,,,,26.27245454421571,24.04494588689175
0.007222222222222222,1.4222222222222223,266.6666666666667,tonic_spiking,tonic_spiking,32,211,32.0,211.0,,,,,25.215958994042648,22.795249443903984
0.007222222222222222,1.4222222222222223,283.33333333333337,tonic_spiking,tonic_spiking,201,29,201.0,29.0,,,,,21.765219121051395,25.870663655427723
0.007222222222222222,1.4222222222222223,300.0,tonic_spiking,tonic_spiking,189,26,189.0,26.0,,,,,20.654547004180234,25.780977515255035
0.007222222222222222,1.4222222222222223,316.6666666666667,tonic_spiking,tonic_spiking,179,25,179.0,25.0,,,,,19.62297777799167,25.864699658664563
0.007222222222222222,1.4222222222222223,333.33333333333337,bursting,bursting,113,100,37.666666666666664,25.0,0.39939955314794584,0.37451651368277367,0.2743176211936971,0.34884476808758197,26.370043664270558,27.10695277962617
0.007222222222222222,1.4222222222222223,350.0,bursting,bursting,107,104,26.75,34.666666666666664,0.37228599610657814,0.3936756514130505,0.36352014646490066,0.2878482636159869,27.26775183627753,26.304875910202863
0.007222222222222222,1.5333333333333332,200.0,tonic_spiking,tonic_spiking,78,233,78.0,233.0,,,,,23.425593084172405,25.19404137917386
0.007222222222222222,1.5333333333333332,216.66666666666666,tonic_spiking,tonic_spiking,33,232,33.0,232.0,,,,,25.691171542848274,24.968196837099455
0.007222222222222222,1.5333333333333332,233.33333333333334,tonic_spiking,tonic_spiking,35,220,35.0,220.0,,,,,25.10885231854088,23.736168835598274
0.007222222222222222,1.5333333333333332,250.0,tonic_spiking,tonic_spiking,28,210,28.0,210.0,,,,,25.720669573196638,22.633786724118586
0.007222222222222222,1.5333333333333332,266.6666666666667,tonic_spiking,tonic_spiking,197,28,197.0,28.0,,,,,21.351540154728625,24.32715935759861
0.007222222222222222,1.5333333333333332,283.33333333333337,tonic_spiking,tonic_spiking,25,185,25.0,185.0,,,,,25.70298042081016,20.21638437906903
0.007222222222222222,1.5333333333333332,300.0,bursting,bursting,99,121,33.0,40.333333333333336,0.38631565352305697,0.42340511768304934,0.33747220951137147,0.2563706894638802,26.31466067132344,25.682634382649695
0.007222222222222222,1.5333333333333332,316.6666666666667,bursting,bursting,114,97,28.5,24.25,0.4030067297131996,0.3624894847811208,0.3991152456439511,0.49130642025200655,26.26376785898355,26.71610072132653
0.007222222222222222,1.5333333333333332,333.33333333333337,bursting,bursting,104,93,26.0,23.25,0.34786009679335833,0.3654924883021485,0.4050688715611588,0.3243730677567527,27.160966986827344,26.559635107277536
0.007222222222222222,1.5333333333333332,350.0,bursting,bursting,101,93,25.25,23.25,0.3572019700672647,0.3539619955455234,0.401782733988653,0.33142688855897634,26.92477301317665,26.5850902745762
0.007222222222222222,1.6444444444444444,200.0,tonic_spiking,tonic_spiking,231,44,231.0,44.0,,,,,24.87590746224671,24.344597399409427
0.007222222222222222,1.6444444444444444,216.66666666666666,tonic_spiking,tonic_spiking,26,222,26.0,222.0,,,,,26.164927209371626,23.94986420867673
0.007222222222222222,1.6444444444444444,233.33333333333334,tonic_spiking,tonic_spiking,208,29,208.0,29.0,,,,,22.498771469129228,25.270872947019217
0.007222222222222222,1.6444444444444444,250.0,tonic_spiking,tonic_spiking,196,23,196.0,23.0,,,,,21.28300233689394,26.140017662611037
0.007222222222222222,1.6444444444444444,266.6666666666667,tonic_spiking,tonic_spiking,183,22,183.0,22.0,,,,,19.954593867867274,26.366384017233393
0.007222222222222222,1.6444444444444444,283.33333333333337,bursting,bursting,114,97,38.0,24.25,0.4262989911980269,0.3480233478933344,0.28581114922685524,0.3517417719191713,25.340658019470304,27.2752637183691
0.007222222222222222,1.6444444444444444,300.0,bursting,bursting,95,104,23.75,26.0,0.37202942696579483,0.3492714349548581,0.32686821703384905,0.4061537359627534,26.43269520211599,27.184966943185145
0.007222222222222222,1.6444444444444444,316.6666666666667,bursting,bursting,97,98,24.25,24.5,0.3406806280850347,0.3601665210818365,0.42068655357049317,0.338224273900577,27.12468976531087,26.729662398754193
0.007222222222222222,1.6444444444444444,333.33333333333337,bursting,bursting,99,91,19.8,22.75,0.32764491609528273,0.35098989382683654,0.5048404895652104,0.4448892002769888,27.17829734976035,26.511163430365166
0.007222222222222222,1.6444444444444444,350.0,bursting,bursting,84,97,21.0,24.25,0.31504156885574314,0.32597354265459805,0.45299434524736976,0.36577401830209616,27.35645374571643,26.881257176613712
0.007222222222222222,1.7555555555555555,200.0,tonic_spiking,tonic_spiking,38,222,38.0,222.0,,,,,24.22214302163027,23.919161830817533
0.007222222222222222,1.7555555555555555,216.66666666666666,tonic_spiking,tonic_spiking,210,27,210.0,27.0,,,,,22.67467799063973,25.825665102692867
0.007222222222222222,1.7555555555555555,233.33333333333334,tonic_spiking,tonic_spiking,197,21,197.0,21.0,,,,,21.33064611089537,26.423261915488542
0.007222222222222222,1.7555555555555555,250.0,tonic_spiking,tonic_spiking,20,183,20.0,183.0,,,,,26.576900138791014,19.94298566129287
0.007222222222222222,1.7555555555555555,266.6666666666667,bursting,bursting,88,108,22.0,27.0,0.3463978561172895,0.39095172737857203,0.32376060543256097,0.42131940994045536,26.584648682295644,26.66190118242235
0.007222222222222222,1.7555555555555555,283.33333333333337,bursting,bursting,96,103,24.0,25.75,0.3391173004202052,0.35779688056154985,0.4341223285926608,0.3457357394354419,27.23506584825834,27.08477731431219
0.007222222222222222,1.7555555555555555,300.0,bursting,bursting,103,90,25.75,22.5,0.3431626012027616,0.3352361338434175,0.3570259148249861,0.4487562869939421,26.870079407802567,27.10914030442403
0.007222222222222222,1.7555555555555555,316.6666666666667,bursting,bursting,84,96,21.0,24.0,0.32441662754954975,0.32839980921227346,0.46086029463466255,0.37221662442987963,27.160827625454807,26.791258491837894
0.007222222222222222,1.7555555555555555,333.33333333333337,bursting,bursting,83,91,16.6,22.75,0.3080927135512709,0.3233877586550973,0.4513119307029387,0.3793552831206199,27.29786025422615,26.718425262644956
0.007222222222222222,1.7555555555555555,350.0,bursting,bursting,86,83,21.5,16.6,0.30980484146962994,0.29547144430074007,0.3867131168645241,0.4551154373602953,26.700224176213112,27.5705172528357
0.007222222222222222,1.8666666666666667,200.0,tonic_spiking,tonic_spiking,214,25,214.0,25.0,,,,,23.04004602630181,24.899949155568844
0.007222222222222222,1.8666666666666667,216.66666666666666,tonic_spiking,tonic_spiking,20,199,20.0,199.0,,,,,26.864724486069655,21.58781777141997
0.007222222222222222,1.8666666666666667,233.33333333333334,bursting,bursting,110,110,15.714285714285714,15.714285714285714,0.4270627967071321,0.4270627967071321,0.7251751147625244,0.7251751147625244,25.36777127047015,25.36777127047015
0.007222222222222222,1.8666666666666667,250.0,bursting,bursting,105,95,26.25,31.666666666666668,0.35218302559741993,0.4014578708078861,0.39727014700748325,0.3160433947459116,26.95521625598652,25.958601178333907
0.007222222222222222,1.8666666666666667,266.6666666666667,bursting,bursting,94,104,23.5,26.0,0.34596138001946786,0.35635954854206003,0.4391126533939403,0.35236760015116647,27.020184812337007,26.763576549772157
0.007222222222222222,1.8666666666666667,283.33333333333337,bursting,bursting,98,85,24.5,21.25,0.3442509575280999,0.3289272903491481,0.3734421350263026,0.45782420353689224,26.598404073379285,27.277881120666336
0.007222222222222222,1.8666666666666667,300.0,bursting,bursting,91,87,22.75,17.4,0.3209928409324901,0.3117580158131427,0.385454663041805,0.4624159918073883,26.841067641306495,27.43919358727982
0.007222222222222222,1.8666666666666667,316.6666666666667,bursting,bursting,89,85,17.8,21.25,0.2979797383178929,0.30889587846392247,0.47378310706424054,0.39724193901732097,27.631338855283204,26.960370957886695
0.007222222222222222,1.8666666666666667,333.33333333333337,bursting,bursting,81,89,20.25,17.8,0.29865567385022035,0.28943804843850407,0.40135363779955496,0.47478357677637384,26.868885237146852,27.498001171295414
0.007222222222222222,1.8666666666666667,350.0,bursting,bursting,85,77,17.0,15.4,0.2853539379484484,0.2727438869449249,0.4746820173931382,0.5663895712560315,26.971638473534814,27.136482149742893
0.007222222222222222,1.9777777777777779,200.0,tonic_spiking,tonic_spiking,203,21,203.0,21.0,,,,,21.908514956462557,26.33422676238299
0.007222222222222222,1.9777777777777779,216.66666666666666,tonic_spiking,tonic_spiking,186,21,186.0,21.0,,,,,20.25153982504079,25.90591572485324
0.007222222222222222,1.9777777777777779,233.33333333333334,bursting,bursting,102,98,25.5,24.5,0.343103653215449,0.3947041308512433,0.39549413634870484,0.3293504170958619,26.934646337306862,25.711480258848294
0.007222222222222222,1.9777777777777779,250.0,bursting,bursting,89,103,22.25,25.75,0.33375525803252365,0.34755797600139343,0.45962058466438255,0.36385143533237896,27.111055102245935,26.670979536641894
0.007222222222222222,1.9777777777777779,266.6666666666667,bursting,bursting,93,90,23.25,18.0,0.33334615018075814,0.3269262408761865,0.38531760603554516,0.4583279525288415,26.718861166656858,27.379795085146892
0.007222222222222222,1.9777777777777779,283.33333333333337,bursting,bursting,87,91,21.75,18.2,0.31925676287754373,0.31065592710264955,0.3992805947626641,0.47563087282234223,26.737791596459406,27.4428520251702
