Vs0,Vus0,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
-55.19992053120248,-40.8634324754736,tonic_spiking,tonic_spiking,1,1,,,,,,,,,,,
-54.79441300414499,-56.36881368020514,tonic_spiking,tonic_spiking,20,20,3.5,3.5,0.08482460107242096,0.3495548360987452,0.6460365656696168,0.5058680696074466,12.590899086454835,10.159803645507086,,,
-54.79441300414499,-56.287302321594446,tonic_spiking,tonic_spiking,21,20,4.0,3.5,0.3660493669918741,0.23996052985677124,0.5094632804340627,0.5980324731632927,10.69721115706762,8.683161506851759,,,
-54.79441300414499,-56.231618186888966,tonic_spiking,tonic_spiking,18,23,3.5,3.5,0.08406991426862503,0.3840918124006359,0.6645843025187747,0.4968203497615262,10.705933439251918,10.261229429918494,,,
-54.79441300414499,-55.540833630900494,tonic_spiking,tonic_spiking,25,24,3.0,3.0,0.0984909883833122,0.10969219252278842,0.7718729497124771,0.8807080893037998,15.76156062939298,13.389725475472444,[-52.178066 -52.355225 -52.530483 ... -51.905014 -51.90496  -51.904907],[-52.178066 -52.355225 -52.530483 ... -51.77929  -51.77868  -51.77807 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-54.79441300414499,-54.663662191171994,tonic_spiking,tonic_spiking,29,32,4.0,4.0,0.16950999549075588,0.4528429963264654,0.7515406583496169,0.7985944737262417,12.719401458200855,11.325207289528125,,,
-54.79441300414499,-54.227304675248156,tonic_spiking,tonic_spiking,32,33,5.0,5.0,0.31114494720466035,0.3462135227069286,0.6620105259673628,0.5967655308229398,12.675382595852902,11.99301843843222,,,
-54.79441300414499,-54.1133580852,tonic_spiking,tonic_spiking,32,34,4.0,5.0,0.3601658700262731,0.3915530278549729,0.6330917033332277,0.6462870807212563,13.70079604657937,12.504555606487123,,,
-54.79441300414499,-53.83109446253879,tonic_spiking,tonic_spiking,33,38,5.5,5.5,0.3726868686868687,0.4242148384160221,0.5387205387205385,0.6068881808526779,13.107125728229697,12.776072069301597,,,
-54.79441300414499,-52.96128429043536,tonic_spiking,tonic_spiking,40,41,6.0,6.0,0.3692408689424683,0.3385154990994406,0.5968011458582,0.6319714348911428,13.301349955481555,12.966062547296634,,,
-54.79441300414499,-52.80355330675777,tonic_spiking,tonic_spiking,39,43,5.5,6.0,0.5040640444389987,0.4067160057439524,0.8168933545725604,0.7364041385912588,10.927182966707484,13.376339199047326,,,
-54.79441300414499,-52.592526779805354,bursting,tonic_spiking,39,45,5.5,6.0,0.4103811841038118,0.3534788540245569,0.6488240064882401,0.6821282401091402,14.747095909183018,12.943624386598739,,,
-54.79441300414499,-50.09969086530679,bursting,bursting,52,60,8.5,9.5,0.422984119858594,0.5254074784276125,0.5611357387352,0.6391818472355383,15.708101561024536,12.890110105933655,,,
-54.79441300414499,-49.85379041970086,bursting,bursting,52,60,9.0,11.5,0.24121104896701304,0.4988693873156027,0.5707111060381233,0.5383869925702595,15.85076742053872,12.863456678211477,,,
-54.79441300414499,-49.75973078435901,bursting,bursting,54,59,9.5,9.0,0.39791391919434116,0.40313922277978764,0.5994485073732164,0.5834986579530868,14.853279864791476,13.783946425449695,,,
-54.79441300414499,-49.23199223512259,bursting,bursting,55,65,9.0,9.5,0.41253263707571786,0.4954823763031606,0.678173001932793,0.661922885983783,15.147067769378033,14.097268702948494,,,
-54.79441300414499,-48.79690700260742,bursting,bursting,52,67,10.0,12.5,0.4078506725226459,0.5631748544293063,0.5489980785067251,0.5653230821414437,16.201719724278124,13.480007525412072,,,
-54.79441300414499,-48.616917503311555,bursting,bursting,49,70,11.0,13.5,0.4065290425249756,0.6032192192192192,0.44204756431792064,0.48048048048048053,15.557131951628804,13.007715957511413,,,
-54.79441300414499,-46.129344077851364,tonic_spiking,tonic_spiking,3,101,,,,,,,,,,,
-54.79441300414499,-45.64278503889504,tonic_spiking,tonic_spiking,4,102,,,,,,,,,,,
-54.79441300414499,-40.8634324754736,tonic_spiking,tonic_spiking,1,1,,,,,,,,,,,
-54.29646231441619,-56.36881368020514,tonic_spiking,tonic_spiking,48,51,3.0,4.0,0.1898033089540579,0.4658897294350163,1.4201519562593201,1.3630477748245078,14.510063402352191,9.674282673876574,,,
-54.29646231441619,-56.287302321594446,tonic_spiking,tonic_spiking,49,52,5.0,3.0,0.36124992473959916,0.4306814580031698,1.204166415798663,1.2678288431061808,11.082059708564845,12.313670191802284,,,
-54.29646231441619,-56.231618186888966,tonic_spiking,tonic_spiking,50,51,4.0,4.0,0.38114050154586065,0.3967008882224017,1.145081873353945,1.1535355865728454,12.05891893933862,10.830221240721555,,,
-54.29646231441619,-55.540833630900494,tonic_spiking,tonic_spiking,52,57,3.5,5.0,0.35918051797448824,0.24682747263392368,1.5461925009663695,1.9374212922600016,14.241288295758375,11.45291919305947,,,
-54.29646231441619,-54.663662191171994,tonic_spiking,tonic_spiking,59,62,4.5,5.0,0.26011326860841405,0.4872757883830862,1.348435814455232,1.2950851518487334,13.959688364972362,11.310738010672408,[-52.14232  -52.28395  -52.424255 ... -52.00389  -52.003754 -52.003616],[-52.14232  -52.28395  -52.424255 ... -51.945103 -51.943016 -51.94093 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
-54.29646231441619,-54.227304675248156,tonic_spiking,tonic_spiking,62,64,4.5,5.0,0.4661384644406715,0.489206243772833,1.2576243476073696,1.1070519207350829,12.998544542744012,13.197103831226185,,,
-54.29646231441619,-54.1133580852,tonic_spiking,tonic_spiking,62,65,4.5,5.5,0.3476683937823832,0.4484307852584971,1.2953367875647672,1.302252897512697,13.117675594694456,11.932012533167425,,,
-54.29646231441619,-53.83109446253879,tonic_spiking,tonic_spiking,63,68,5.5,6.0,0.4834191654233044,0.4445436286543182,0.9626028781826057,1.1158223610801157,13.464455869215204,13.343435944666117,,,
-54.29646231441619,-52.96128429043536,tonic_spiking,tonic_spiking,69,72,6.0,6.5,0.40675851594706014,0.4639991926938795,1.0848340203948794,1.0091326504869063,14.037044594842282,14.247722258094221,,,
-54.29646231441619,-52.80355330675777,tonic_spiking,tonic_spiking,69,74,5.5,6.0,0.3592296039818222,0.4942048034412716,1.442689172617759,1.194885888397658,14.695217763359429,13.18785330001469,,,
-54.29646231441619,-52.592526779805354,tonic_spiking,tonic_spiking,69,75,5.0,5.5,0.35802213001383126,0.5170348425323633,1.383125864453665,1.2880788304244222,15.177932438883246,13.42439889809585,,,
