g_s,tau_s,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
0.39892312754526665,3.5339400025595102,bursting,bursting,91,93,10.0,9.5,0.2739551593978809,0.2798609501738122,0.909545681931875,0.9269988412514485,30.168046914409736,30.446295799559024,[-52.      -52.      -52.      ... -66.67242 -66.58319 -66.49448],[-52.       -52.       -52.       ... -54.769245 -54.76922  -54.76919 ],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
0.39892312754526665,3.5705731851886764,bursting,bursting,90,96,10.5,9.5,0.2933564915327833,0.260386382819094,0.8684324793747283,0.9378223764419019,30.036945068452706,29.413407552315398,,,
0.39892312754526665,3.8804511538385014,bursting,bursting,96,90,10.5,10.5,0.27464910014638777,0.31697230460754433,0.8611039352449842,0.8354567859977439,28.19848419115149,27.83731743642331,,,
0.39892312754526665,3.9825988112977626,bursting,bursting,94,94,11.0,11.0,0.3043997201300573,0.3056225720711509,0.8231468905626208,0.8178286648947043,27.436970125138384,27.29652896672844,,,
0.39892312754526665,4.017990874528758,bursting,bursting,92,94,11.0,11.0,0.30134404196033443,0.30314034580943355,0.8195377806916898,0.8253208434779019,27.450989525570815,27.383715671564765,,,
0.39892312754526665,4.063196699330868,bursting,bursting,92,95,11.0,11.0,0.30481902792140625,0.3122516556291392,0.8273009307135472,0.8278145695364237,27.299908361120856,26.884770183893473,,,
0.39892312754526665,4.095442762782422,bursting,bursting,89,95,11.0,11.0,0.30635097723234567,0.31200497615591977,0.8264121317300939,0.8293593199253576,27.134056597625083,26.85372656508763,,,
0.39892312754526665,4.158352993012739,bursting,bursting,90,96,11.0,11.0,0.30823102908461747,0.3126754748142034,0.8239268352970255,0.8257638315441782,26.877033840081594,26.651003859484838,,,
0.39892312754526665,4.229732875369103,bursting,bursting,93,97,11.5,11.5,0.352530970547215,0.3070736976874451,0.820411846747067,0.800192046091062,26.017580795433084,26.069781287922176,,,
0.39892312754526665,4.316233184174,bursting,bursting,96,91,12.0,12.0,0.32648185369183513,0.33226193703287754,0.7584663809776632,0.7745033497269875,25.802353494806848,25.71925623700507,,,
0.39892312754526665,4.359310269546686,bursting,bursting,96,90,12.0,12.0,0.3408089239049886,0.33446112906291586,0.7800616248683648,0.7603117278084013,25.396564677292123,25.41281839426897,,,
0.39892312754526665,4.588149802396627,bursting,bursting,91,97,13.0,13.0,0.3514483826686848,0.3503536615406272,0.7039526943789379,0.7038040609494316,24.39888650758645,24.387343108957932,,,
0.39892312754526665,4.6747325124188706,bursting,bursting,99,92,13.0,13.0,0.3559543114996828,0.3537654473119038,0.7050694493407599,0.7041509699679611,24.093504535166044,24.11684512592635,,,
0.39892312754526665,4.709933922396952,bursting,bursting,99,92,13.0,13.5,0.3505046989209887,0.38297364563090264,0.6961364427427775,0.6818724216699057,24.11001723736942,23.750886505015014,,,
0.39892312754526665,4.82922406657648,bursting,bursting,95,96,14.0,14.0,0.37559968017057593,0.37701612903225823,0.6663113006396589,0.6610259122157587,23.30831871361463,23.156055861822537,,,
0.39892312754526665,4.831263854274557,bursting,bursting,97,92,14.0,14.0,0.369689178944593,0.37949616058197505,0.6592175088170342,0.6735821096591675,23.42081452849997,23.181072504766707,,,
0.39892312754526665,4.83537928093241,bursting,bursting,97,92,14.0,14.0,0.37076725246463754,0.37011403335310766,0.6594348643212765,0.6591523301034868,23.374472678300812,23.357770672385843,,,
0.39892312754526665,4.954625174264129,bursting,bursting,98,93,15.0,14.5,0.384854835727054,0.403847955773495,0.616408802317697,0.6246681450479431,22.74696450919819,22.64491372578233,,,
0.39892312754526665,5.019665555064,bursting,bursting,97,95,15.0,15.0,0.39352378609428323,0.3923117759110642,0.6150250622712874,0.624551103894076,22.4309135750727,22.432725882416182,,,
0.39892312754526665,5.343357938671881,bursting,bursting,97,96,16.0,16.0,0.4213152469449339,0.4197684403778391,0.5975678986524842,0.592224097598531,21.423499937704968,21.291142424979494,,,
0.4380684108120857,3.5339400025595102,bursting,bursting,87,92,11.0,11.0,0.2579668578712554,0.25044521873790176,0.7966857871255575,0.7742934572202862,31.168417344237373,31.303479542096056,,,
