tau_i,Vi_threshold,regime_A,regime_B,spike_count_A,spike_count_B,mean_spikes_per_burst_A,mean_spikes_per_burst_B,duty_cycle_A,duty_cycle_B,interburst_freq_A,interburst_freq_B,intraburst_freq_A,intraburst_freq_B,V_trace_A,V_trace_B,time
39.00462398585954,-22.914311639711332,bursting,bursting,77,83,16.0,16.0,0.27740681682280255,0.2768849504355665,0.49830576041459035,0.5006508460999297,27.402877237253147,27.4177255301527,[-52.       -52.       -52.       ... -51.186222 -51.13842  -51.08912 ],[-52.       -52.       -52.       ... -55.584366 -55.584286 -55.584206],"[0.000000e+00 5.000000e-05 1.000000e-04 ... 9.999849e+00 9.999900e+00
 9.999949e+00]"
39.00462398585954,-21.731662231386487,bursting,bursting,80,83,16.0,16.0,0.28446406246013334,0.2831184651304433,0.5102952057765417,0.5075626839914729,27.2768052993638,27.237182204803275,,,
39.00462398585954,-21.331019414577387,bursting,bursting,81,83,16.0,16.0,0.2841388423031968,0.28272966410360156,0.5082075519642222,0.5058680696074465,27.259102438621433,27.248213442703598,,,
39.00462398585954,-21.277755696486683,bursting,bursting,80,83,16.0,16.0,0.2790480752262585,0.28363497323476894,0.5041974437189605,0.5098139179199592,27.402862780793058,27.24976234527349,,,
39.00462398585954,-20.94074530858559,bursting,bursting,81,83,16.0,16.0,0.2795962834030403,0.2845503615439456,0.5008890781136518,0.5092168245238821,27.34618463101627,27.18963027448027,,,
39.00462398585954,-20.639342432714603,bursting,bursting,83,82,16.0,15.5,0.28229701367992505,0.28962144539032797,0.5057273623789416,0.5175045928532614,27.304180984891318,27.454095040742928,,,
39.00462398585954,-20.55028450245337,bursting,bursting,82,82,16.0,16.0,0.27991174405776764,0.2832999721286138,0.5014542172299669,0.5067524767527302,27.329918528441127,27.229199334993485,,,
39.00462398585954,-19.864841861022217,bursting,bursting,83,82,16.0,15.5,0.2823941179432948,0.28535289007001585,0.5036007453291029,0.5110645474523433,27.265876811339144,27.511009485959114,,,
39.00462398585954,-19.766628381718544,bursting,bursting,82,82,15.5,15.5,0.27002020631713275,0.26611449324589115,0.5317451877060511,0.5225615969482401,27.382345660714538,27.426730629354402,,,
39.00462398585954,-19.562622806541974,bursting,bursting,83,82,15.5,15.5,0.29584371108343693,0.2649741444274096,0.5188875051888752,0.519710001818985,27.34134193238642,27.483177469891697,,,
39.00462398585954,-19.552808902450636,bursting,bursting,84,82,15.5,15.5,0.29584371108343693,0.2649741444274096,0.5188875051888752,0.519710001818985,27.34134193238642,27.483177469891697,,,
39.00462398585954,-19.53567735386656,bursting,bursting,83,82,15.5,15.5,0.29584371108343693,0.2649741444274096,0.5188875051888752,0.519710001818985,27.34134193238642,27.483177469891697,,,
39.00462398585954,-19.421761202620033,bursting,bursting,86,81,15.5,15.5,0.29856396866840745,0.268098626683822,0.5221932114882508,0.5251687104482317,27.30254482358247,27.33780281923224,,,
39.00462398585954,-18.91369146338961,bursting,bursting,85,81,15.5,15.5,0.2678359488329156,0.2660187091226514,0.5274957140973231,0.5211454777601168,27.47162488505329,27.425685805458187,,,
39.00462398585954,-18.73742354832292,bursting,bursting,87,81,15.5,15.0,0.3047286862985249,0.27212153518123683,0.532509718302359,0.533049040511727,27.226886446536703,27.67740322228811,,,
39.00462398585954,-18.64217287385621,bursting,bursting,85,81,15.5,15.0,0.28997724451799733,0.26945710953239327,0.5171700455109639,0.5301664722722933,27.45854540775156,27.7597727581796,,,
39.00462398585954,-18.513491657593114,bursting,bursting,81,84,15.5,15.0,0.2677763753024088,0.2728369573960376,0.5259282633848744,0.5362361584041611,27.474401883126674,27.716296772449827,,,
39.00462398585954,-18.25714244410362,bursting,bursting,80,87,15.0,15.0,0.2737976827334066,0.2739795509757333,0.5376488615285356,0.5339170826770604,27.70596638275387,27.612332542654997,,,
39.00462398585954,-18.063443290817037,bursting,bursting,80,87,15.0,15.0,0.27384185196139044,0.2739795509757333,0.537735595407738,0.5339170826770604,27.70596638275387,27.612332542654997,,,
39.00462398585954,-17.01011737753121,bursting,bursting,86,81,16.0,15.5,0.28490979512791764,0.29301906233900066,0.5096320456630312,0.5151983513652755,27.190983478194546,27.341269598618798,,,
