peaks,spike_count,mean_isi,cv_isi,n_bursts,mean_spikes_per_burst,interburst_freq,intraburst_freq,duty_cycle,regime
14363,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
15023,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
15700,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
16395,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
17110,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
17849,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
18617,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
19428,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
20209,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
20977,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
21741,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
22505,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
23274,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
24053,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
24846,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
25660,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
26504,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
27396,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
28405,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
63114,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
63770,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
64428,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
65089,112,0.12851261261261263,2.9899178550262535,7,16.0,0.4277820617418561,27.568794945373263,0.2574918933533214,bursting
